"Task","T3179"
"Scope 1/1, Sample 1/5 (20240809_5)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","244.0","21.3","NaN","","","","","",""
"0.0200","3","243.3","21.3","0.0060","","","","","",""
"0.0400","6","243.3","21.3","0.0060","","","","","",""
"0.0900","10","244.0","21.3","0.0110","","","","","",""
"0.2150","16","246.1","21.3","0.0225","","","","","",""
"0.4150","21","249.3","21.3","0.0370","","","","","",""
"0.6150","27","252.1","21.3","0.0335","","","","","",""
"0.8150","32","254.6","21.3","0.0390","","","","","",""
"1.0150","37","256.9","21.3","0.0370","","","","","",""
"1.2150","42","259.0","21.3","0.0365","","","","","",""
"1.4150","48","261.0","21.4","0.0335","","","","","",""
"1.6150","53","262.6","21.4","0.0410","","","","","",""
"1.8150","58","264.3","21.4","0.0435","","","","","",""
"2.0150","62","265.9","21.4","0.0455","","","","","",""
"2.2150","67","267.3","21.4","0.0390","","","","","",""
"2.4150","72","268.7","21.4","0.0415","","","","","",""
"2.6150","76","269.8","21.4","0.0475","","","","","",""
"2.8150","81","271.1","21.4","0.0415","","","","","",""
"3.0150","85","272.2","21.4","0.0475","","","","","",""
"3.2150","89","273.3","21.4","0.0490","","","","","",""
"3.4150","94","274.3","21.4","0.0445","","","","","",""
"3.5600","97","275.1","21.4","0.0425","","","","","",""
"Scope 1/1, Sample 2/5 (202420726_2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","133.2","21.3","NaN","","","","","",""
"0.0200","28","98.9","21.3","0.0005","","","","","",""
"0.0400","179","54.5","21.4","0.0000","","","","","",""
"0.0600","185","53.7","21.4","0.0035","","","","","",""
"0.1100","190","53.3","21.4","0.0100","","","","","",""
"0.2350","193","53.1","21.4","0.0390","-104.75","2.02","","","","NaN"
"0.4350","197","53.2","21.4","0.0475","-17.72","1.25","","","","NaN"
"0.6350","227","57.8","21.4","0.0065","31.14","1.49","","","","NaN"
"0.8350","257","68.0","21.4","0.0065","263.61","2.42","","","","NaN"
