"Task","T3159"
"Scope 1/1, Sample 1/2 (JUNK 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","116.0","22.4","NaN","","","","","",""
"0.0200","25","44.7","22.4","0.0010","","","","","",""
"0.0400","151","-63.3","22.3","0.0000","","","","","",""
"0.0600","154","-63.5","22.3","0.0060","","","","","",""
"0.1100","185","-58.5","22.3","0.0015","","","","","",""
"0.1425","215","-52.4","22.3","0.0010","240.70","2.38","","","","NaN"
"0.1650","245","-46.7","22.2","0.0010","76.42","1.88","","","","NaN"
"0.1885","275","-41.1","22.2","0.0010","145.55","2.16","","","","NaN"
"0.2240","305","-34.7","22.2","0.0010","141.86","2.15","","","","NaN"
"0.2830","336","-27.2","22.2","0.0020","124.55","2.10","","","","NaN"
"0.3710","366","-19.5","22.1","0.0030","87.05","1.94","","","","NaN"
"0.5065","396","-12.3","22.1","0.0045","42.03","1.62","","","","NaN"
"0.7065","426","-3.7","22.1","0.0065","12.85","1.11","","","","NaN"
"0.9065","453","3.4","22.1","0.0075","47.88","1.68","","","","NaN"
"1.1065","483","14.4","22.0","0.0065","207.58","2.32","","","","NaN"
"1.2135","513","28.7","22.0","0.0035","425.83","2.63","","","","NaN"
"1.2380","543","43.0","22.0","0.0010","566.55","2.75","","","","NaN"
"1.2580","574","58.3","22.0","0.0005","675.48","2.83","","","","NaN"
"1.2780","604","75.0","21.9","0.0005","724.18","2.86","","","","NaN"
"1.2980","634","93.5","21.9","0.0005","929.08","2.97","","","","NaN"
"1.3180","664","113.5","21.9","0.0005","961.77","2.98","","","","NaN"
"1.3380","694","134.1","21.9","0.0005","832.44","2.92","","","","NaN"
"1.3580","724","151.6","21.9","0.0005","664.30","2.82","","","","NaN"
"1.3780","755","164.1","21.8","0.0005","533.56","2.73","","","","NaN"
"1.3980","778","171.7","21.8","0.0010","456.87","2.66","","","","NaN"
"1.4330","797","181.1","21.8","0.0020","335.50","2.53","","","","NaN"
"1.4750","813","189.9","21.8","0.0025","235.83","2.37","","","","NaN"
"1.5240","826","197.3","21.8","0.0040","","","","","",""
"1.5975","838","205.8","21.8","0.0065","","","","","",""
"1.6890","847","213.4","21.8","0.0095","","","","","",""
"1.8210","857","221.5","21.8","0.0130","","","","","",""
"1.9970","866","229.4","21.8","0.0205","","","","","",""
"Scope 1/1, Sample 2/2 (CRM 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","117.3","21.2","NaN","","","","","",""
"0.0200","28","69.5","21.2","0.0005","","","","","",""
"0.0400","179","-32.4","21.2","0.0000","","","","","",""
"0.0600","200","-35.6","21.2","0.0010","","","","","",""
"0.1100","203","-35.9","21.2","0.0170","","","","","",""
"0.2350","233","-27.2","21.1","0.0040","135.98","2.13","","","","NaN"
"0.3015","263","-19.5","21.1","0.0020","74.93","1.87","","","","NaN"
"0.3430","294","-13.5","21.1","0.0015","65.98","1.82","","","","NaN"
"0.3875","324","-8.5","21.1","0.0015","59.16","1.77","","","","NaN"
"0.4755","354","-2.9","21.1","0.0030","44.07","1.64","","","","NaN"
"0.6755","384","3.0","21.1","0.0065","4.37","0.64","","","","NaN"
"0.8755","414","9.9","21.1","0.0065","16.66","1.22","","","","NaN"
"1.0755","444","19.9","21.0","0.0065","192.31","2.28","","","","NaN"
"1.2030","475","35.1","21.0","0.0040","482.01","2.68","","","","NaN"
"1.2315","505","51.5","21.0","0.0010","624.49","2.80","","","","NaN"
"1.2515","535","69.3","21.0","0.0005","724.32","2.86","","","","NaN"
"1.2715","565","89.8","21.0","0.0005","740.71","2.87","","","","NaN"
"1.2915","595","112.2","21.0","0.0005","972.42","2.99","","","","NaN"
"1.3115","626","134.6","21.0","0.0005","876.21","2.94","","","","NaN"
"1.3315","656","152.7","21.0","0.0005","670.46","2.83","","","","NaN"
"1.3515","686","164.4","21.0","0.0005","546.62","2.74","","","","NaN"
"1.3730","709","171.9","21.0","0.0010","460.75","2.66","","","","NaN"
"1.4105","727","181.2","21.0","0.0020","322.73","2.51","","","","NaN"
"1.4565","743","189.9","21.0","0.0030","218.28","2.34","","","","NaN"
"1.5125","755","197.7","21.0","0.0045","","","","","",""
"1.5895","767","205.7","21.0","0.0065","","","","","",""
"1.6935","778","213.7","21.0","0.0090","","","","","",""
"1.8350","788","221.5","21.0","0.0145","","","","","",""
"2.0345","797","229.7","21.0","0.0220","","","","","",""
