"Task","T3160"
"Scope 1/1, Sample 1/9 (JUNK 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","118.7","21.1","NaN","","","","","",""
"0.0200","28","49.9","21.1","0.0005","","","","","",""
"0.0400","161","-61.9","21.1","0.0000","","","","","",""
"0.0600","165","-62.2","21.1","0.0055","","","","","",""
"0.1100","168","-62.1","21.1","0.0180","","","","","",""
"0.2350","198","-47.5","21.1","0.0040","607.10","2.78","","","","NaN"
"0.2585","228","-35.6","21.1","0.0010","171.62","2.23","","","","NaN"
"0.2785","258","-27.6","21.1","0.0005","123.54","2.09","","","","NaN"
"0.3040","289","-21.6","21.1","0.0010","117.05","2.07","","","","NaN"
"0.3625","319","-16.0","21.1","0.0020","108.12","2.03","","","","NaN"
"0.5085","349","-9.7","21.1","0.0050","48.60","1.69","","","","NaN"
"0.7085","379","-2.0","21.1","0.0065","-3.66","0.56","","","","NaN"
"0.9085","403","3.5","21.1","0.0085","33.79","1.53","","","","NaN"
"1.1085","433","14.5","21.1","0.0065","212.10","2.33","","","","NaN"
"1.2155","463","28.8","21.1","0.0035","438.59","2.64","","","","NaN"
"1.2400","493","43.8","21.1","0.0010","589.84","2.77","","","","NaN"
"1.2600","523","59.3","21.1","0.0005","700.64","2.85","","","","NaN"
"1.2800","554","76.6","21.1","0.0005","745.31","2.87","","","","NaN"
"1.3000","584","96.0","21.1","0.0005","964.27","2.98","","","","NaN"
"1.3200","614","117.5","21.1","0.0005","974.40","2.99","","","","NaN"
"1.3400","644","138.8","21.1","0.0005","818.85","2.91","","","","NaN"
"1.3600","674","155.9","21.1","0.0005","640.83","2.81","","","","NaN"
"1.3800","703","167.0","21.1","0.0005","526.70","2.72","","","","NaN"
"1.4025","724","174.5","21.1","0.0010","440.49","2.64","","","","NaN"
"1.4420","743","184.3","21.1","0.0020","306.73","2.49","","","","NaN"
