"Task","T3188"
"Scope 1/1, Sample 1/5 (20240717_6)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","117.2","16.0","NaN","","","","","",""
"0.0200","28","52.3","15.8","0.0005","","","","","",""
"0.0400","179","-68.2","16.2","0.0000","","","","","",""
"0.0600","182","-68.5","16.2","0.0070","","","","","",""
"0.1100","212","-65.6","16.3","0.0015","","","","","",""
"0.2005","242","-57.6","16.3","0.0030","574.08","2.76","","","","NaN"
"0.2615","272","-47.4","16.4","0.0020","434.55","2.64","","","","NaN"
"0.2865","303","-38.1","16.5","0.0010","161.90","2.21","","","","NaN"
"0.3065","333","-30.9","16.5","0.0005","123.81","2.09","","","","NaN"
"0.3290","363","-25.5","16.6","0.0005","124.69","2.10","","","","NaN"
"0.3795","393","-20.6","16.6","0.0015","123.85","2.09","","","","NaN"
"0.5055","424","-15.3","16.7","0.0040","57.04","1.76","","","","NaN"
"0.7055","454","-9.5","16.8","0.0070","-12.69","1.10","","","","NaN"
"0.9055","484","-2.7","16.9","0.0065","-7.39","0.87","","","","NaN"
"1.1055","508","3.6","16.9","0.0080","157.99","2.20","","","","NaN"
"1.3055","538","23.8","17.0","0.0065","611.69","2.79","","","","NaN"
"1.3370","569","48.7","17.0","0.0010","787.89","2.90","","","","NaN"
"1.3570","599","79.1","17.1","0.0005","810.35","2.91","","","","NaN"
"1.3770","629","112.9","17.2","0.0005","668.49","2.83","","","","NaN"
"1.3970","659","142.6","17.2","0.0005","1026.54","3.01","","","","NaN"
"1.4170","690","161.9","17.3","0.0005","742.38","2.87","","","","NaN"
"1.4370","719","171.6","17.3","0.0005","680.13","2.83","","","","NaN"
"1.4695","741","179.8","17.3","0.0015","467.30","2.67","","","","NaN"
"1.5305","759","190.4","17.4","0.0035","249.94","2.40","","","","NaN"
"1.5980","774","198.8","17.4","0.0045","","","","","",""
