"Task","T3187"
"Scope 1/1, Sample 1/9 (20240626_acc)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","121.2","18.8","NaN","","","","","",""
"0.0200","28","69.3","18.7","0.0005","","","","","",""
"0.0400","178","-37.6","18.9","0.0000","","","","","",""
"0.0600","208","-41.3","18.9","0.0005","","","","","",""
"0.1100","212","-41.5","18.9","0.0140","","","","","",""
"0.2350","242","-31.9","18.9","0.0040","501.78","2.70","","","","NaN"
"0.2895","272","-23.4","18.9","0.0020","276.69","2.44","","","","NaN"
"0.3145","302","-17.2","19.0","0.0010","99.68","2.00","","","","NaN"
"0.3345","332","-12.3","19.0","0.0005","80.54","1.91","","","","NaN"
"0.3675","363","-8.0","19.0","0.0010","80.68","1.91","","","","NaN"
"0.4500","393","-3.1","19.0","0.0030","70.50","1.85","","","","NaN"
"0.6500","423","1.4","19.1","0.0065","2.45","0.39","","","","NaN"
"0.8500","432","3.5","19.1","0.0235","-7.66","0.88","","","","NaN"
"1.0500","462","12.0","19.1","0.0065","76.74","1.89","","","","NaN"
"1.2265","492","23.9","19.1","0.0060","296.36","2.47","","","","NaN"
"1.3020","522","39.0","19.2","0.0025","502.68","2.70","","","","NaN"
"1.3220","552","55.0","19.2","0.0005","640.25","2.81","","","","NaN"
"1.3420","582","72.4","19.2","0.0005","711.04","2.85","","","","NaN"
"1.3620","613","91.8","19.2","0.0005","771.74","2.89","","","","NaN"
"1.3820","643","112.6","19.3","0.0005","982.18","2.99","","","","NaN"
"1.4020","673","133.2","19.3","0.0005","830.69","2.92","","","","NaN"
"1.4220","703","150.3","19.3","0.0005","651.37","2.81","","","","NaN"
"1.4420","733","162.4","19.3","0.0005","528.41","2.72","","","","NaN"
"1.4620","754","169.6","19.3","0.0010","453.41","2.66","","","","NaN"
"1.4990","774","179.4","19.3","0.0020","323.64","2.51","","","","NaN"
"1.5405","789","187.5","19.4","0.0025","228.56","2.36","","","","NaN"
"1.5960","802","195.7","19.4","0.0040","","","","","",""
"1.6670","814","203.4","19.4","0.0060","","","","","",""
"1.7670","825","211.5","19.4","0.0095","","","","","",""
"1.9015","834","219.4","19.4","0.0150","","","","","",""
"2.0905","844","227.5","19.4","0.0200","","","","","",""
"Scope 1/1, Sample 2/9 (20240710_3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","117.7","19.1","NaN","","","","","",""
"0.0200","28","70.2","19.1","0.0005","","","","","",""
"0.0400","179","-33.8","19.2","0.0000","","","","","",""
"0.0600","195","-36.2","19.2","0.0010","","","","","",""
"0.1100","198","-36.5","19.2","0.0145","","","","","",""
"0.2350","229","-26.7","19.2","0.0040","243.01","2.39","","","","NaN"
"0.2875","259","-19.4","19.2","0.0020","87.84","1.94","","","","NaN"
"0.3195","289","-13.7","19.3","0.0010","67.39","1.83","","","","NaN"
"0.3545","319","-8.9","19.3","0.0010","62.37","1.79","","","","NaN"
"0.4300","349","-3.9","19.3","0.0025","50.25","1.70","","","","NaN"
"0.6190","377","0.4","19.3","0.0070","5.47","0.74","","","","NaN"
"0.8190","386","3.4","19.3","0.0215","-6.77","0.83","","","","NaN"
"1.0190","417","11.9","19.4","0.0065","81.14","1.91","","","","NaN"
"1.1960","447","24.6","19.4","0.0060","313.06","2.50","","","","NaN"
"1.2620","477","39.8","19.4","0.0020","501.90","2.70","","","","NaN"
"1.2820","507","55.6","19.4","0.0005","632.20","2.80","","","","NaN"
"1.3020","537","72.7","19.5","0.0005","697.11","2.84","","","","NaN"
"1.3220","568","91.3","19.5","0.0005","770.56","2.89","","","","NaN"
"1.3420","598","110.9","19.5","0.0005","957.51","2.98","","","","NaN"
"1.3620","628","131.0","19.5","0.0005","820.94","2.91","","","","NaN"
"1.3820","658","148.1","19.5","0.0005","656.19","2.82","","","","NaN"
"1.4020","688","160.0","19.5","0.0005","524.83","2.72","","","","NaN"
"1.4220","710","167.5","19.5","0.0010","447.14","2.65","","","","NaN"
"1.4560","730","177.1","19.6","0.0015","332.85","2.52","","","","NaN"
"1.4935","747","185.3","19.6","0.0020","242.87","2.39","","","","NaN"
"1.5405","761","192.7","19.6","0.0035","175.30","2.24","","","","NaN"
"1.6125","774","201.1","19.6","0.0055","","","","","",""
"1.7025","784","209.0","19.6","0.0095","","","","","",""
"1.8275","794","216.9","19.6","0.0130","","","","","",""
"2.0005","803","224.9","19.6","0.0195","","","","","",""
"2.2005","811","231.8","19.6","0.0255","","","","","",""
"Scope 1/1, Sample 3/9 (20240715_2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","118.5","19.6","NaN","","","","","",""
"0.0200","28","75.7","19.6","0.0005","","","","","",""
"0.0400","179","-16.8","19.6","0.0000","","","","","",""
"0.0600","209","-21.8","19.7","0.0005","","","","","",""
"0.1100","212","-22.1","19.7","0.0145","","","","","",""
"0.2350","243","-16.2","19.7","0.0040","-147.51","2.17","","","","NaN"
"0.3770","273","-9.8","19.7","0.0045","4.40","0.64","","","","NaN"
"0.5610","303","-2.3","19.7","0.0060","23.69","1.37","","","","NaN"
"0.7610","330","3.4","19.7","0.0075","29.39","1.47","","","","NaN"
"0.9610","360","11.6","19.8","0.0065","82.31","1.92","","","","NaN"
"1.1515","390","23.1","19.8","0.0065","237.97","2.38","","","","NaN"
"1.2405","420","37.7","19.8","0.0030","430.37","2.63","","","","NaN"
