"Task","T3185"
"Scope 1/1, Sample 1/9 (JUNK 2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","106.2","23.1","NaN","","","","","",""
"0.0200","28","39.0","23.2","0.0005","","","","","",""
"0.0400","152","-57.6","23.1","0.0000","","","","","",""
"0.0600","155","-57.8","23.1","0.0070","","","","","",""
"0.1100","185","-51.7","23.0","0.0015","","","","","",""
"0.1315","215","-45.5","23.0","0.0005","-150.37","2.18","","","","NaN"
"0.1515","246","-40.3","23.0","0.0005","-47.84","1.68","","","","NaN"
"0.1850","276","-34.2","23.0","0.0010","138.95","2.14","","","","NaN"
"0.2495","306","-26.4","23.0","0.0020","120.77","2.08","","","","NaN"
"0.3465","336","-17.9","22.9","0.0030","86.15","1.94","","","","NaN"
"0.4765","366","-10.4","22.9","0.0045","46.70","1.67","","","","NaN"
"0.6765","396","-1.7","22.9","0.0065","18.59","1.27","","","","NaN"
"0.8765","416","3.4","22.9","0.0100","35.94","1.56","","","","NaN"
"1.0765","446","13.7","22.9","0.0065","122.88","2.09","","","","NaN"
"1.1985","476","25.1","22.9","0.0040","245.09","2.39","","","","NaN"
"1.2450","506","36.5","22.8","0.0015","335.08","2.53","","","","NaN"
"1.2650","536","47.3","22.8","0.0005","386.55","2.59","","","","NaN"
"1.2850","567","57.8","22.8","0.0005","416.43","2.62","","","","NaN"
"1.3050","597","68.1","22.8","0.0005","496.58","2.70","","","","NaN"
"1.3250","627","78.4","22.8","0.0005","527.48","2.72","","","","NaN"
"1.3450","657","88.0","22.8","0.0005","483.55","2.68","","","","NaN"
"1.3650","687","97.6","22.8","0.0005","481.21","2.68","","","","NaN"
"1.3850","718","107.3","22.8","0.0005","495.37","2.69","","","","NaN"
"1.4050","748","117.0","22.7","0.0005","518.02","2.71","","","","NaN"
"1.4250","778","127.2","22.7","0.0005","537.60","2.73","","","","NaN"
"1.4450","808","138.5","22.7","0.0005","529.76","2.72","","","","NaN"
"1.4650","838","149.8","22.7","0.0005","488.11","2.69","","","","NaN"
"1.4850","862","159.3","22.7","0.0010","421.50","2.62","","","","NaN"
"1.5050","885","167.4","22.7","0.0010","362.33","2.56","","","","NaN"
"1.5290","904","175.1","22.7","0.0015","311.94","2.49","","","","NaN"
"1.5600","920","183.1","22.7","0.0020","256.68","2.41","","","","NaN"
"1.5985","934","190.6","22.6","0.0025","203.02","2.31","","","","NaN"
"1.6530","947","198.6","22.6","0.0045","","","","","",""
"1.7245","957","206.5","22.6","0.0070","","","","","",""
"1.8225","966","214.3","22.6","0.0105","","","","","",""
"1.9585","976","222.5","22.6","0.0140","","","","","",""
"2.1365","984","230.2","22.6","0.0235","","","","","",""
"Scope 1/1, Sample 2/9 (20240717_2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","114.1","21.1","NaN","","","","","",""
"0.0200","28","65.6","21.1","0.0005","","","","","",""
"0.0400","179","-34.5","21.2","0.0000","","","","","",""
"0.0600","186","-35.6","21.2","0.0025","","","","","",""
"0.1100","190","-35.8","21.2","0.0130","","","","","",""
"0.2350","220","-26.5","21.2","0.0040","347.59","2.54","","","","NaN"
"0.2930","250","-18.3","21.2","0.0020","154.66","2.19","","","","NaN"
"0.3230","280","-12.4","21.2","0.0010","73.99","1.87","","","","NaN"
"0.3515","311","-7.4","21.2","0.0010","66.48","1.82","","","","NaN"
"0.4035","333","-3.6","21.2","0.0025","60.51","1.78","","","","NaN"
"0.5335","354","-0.2","21.2","0.0060","30.18","1.48","","","","NaN"
"0.7335","372","3.3","21.2","0.0115","-6.13","0.79","","","","NaN"
"0.9335","402","11.4","21.2","0.0065","36.02","1.56","","","","NaN"
"1.1330","432","22.4","21.2","0.0065","217.71","2.34","","","","NaN"
"1.2370","462","36.9","21.3","0.0035","427.78","2.63","","","","NaN"
"1.2600","492","51.8","21.3","0.0010","546.03","2.74","","","","NaN"
"1.2800","523","67.5","21.3","0.0005","634.83","2.80","","","","NaN"
"1.3000","553","84.0","21.3","0.0005","674.40","2.83","","","","NaN"
"1.3200","583","101.3","21.3","0.0005","869.10","2.94","","","","NaN"
"1.3400","613","119.0","21.3","0.0005","838.00","2.92","","","","NaN"
"1.3600","643","136.3","21.3","0.0005","722.46","2.86","","","","NaN"
"1.3800","674","151.0","21.3","0.0005","585.44","2.77","","","","NaN"
"1.4000","702","161.3","21.3","0.0005","476.20","2.68","","","","NaN"
"1.4220","724","169.2","21.3","0.0010","399.90","2.60","","","","NaN"
"1.4535","744","178.0","21.3","0.0015","310.27","2.49","","","","NaN"
"1.4905","761","186.1","21.3","0.0020","233.47","2.37","","","","NaN"
"1.5375","774","193.5","21.3","0.0035","172.89","2.24","","","","NaN"
"1.6080","786","201.9","21.3","0.0060","","","","","",""
"1.6985","797","209.9","21.3","0.0080","","","","","",""
"1.8180","807","217.6","21.3","0.0125","","","","","",""
"1.9890","815","225.7","21.3","0.0205","","","","","",""
"2.1890","823","232.6","21.3","0.0240","","","","","",""
"Scope 1/1, Sample 3/9 (20240710_4)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","110.7","20.9","NaN","","","","","",""
"0.0200","28","52.2","20.9","0.0005","","","","","",""
"0.0400","167","-57.6","20.9","0.0000","","","","","",""
"0.0600","170","-57.9","20.9","0.0075","","","","","",""
"0.1100","173","-58.0","20.9","0.0165","","","","","",""
"0.2350","203","-44.2","20.9","0.0040","602.71","2.78","","","","NaN"
"0.2615","233","-32.9","20.9","0.0010","199.37","2.30","","","","NaN"
"0.2815","264","-25.3","20.9","0.0005","119.44","2.08","","","","NaN"
"0.3055","294","-19.5","20.9","0.0010","111.23","2.05","","","","NaN"
"0.3565","324","-14.3","20.9","0.0015","106.54","2.03","","","","NaN"
"0.4840","354","-8.7","20.9","0.0040","59.54","1.77","","","","NaN"
"0.6840","384","-1.7","20.9","0.0065","-0.83","-0.08","","","","NaN"
"0.8840","407","3.4","20.9","0.0090","18.66","1.27","","","","NaN"
"1.0840","437","13.2","20.9","0.0065","157.30","2.20","","","","NaN"
"1.2170","467","26.7","20.9","0.0045","380.38","2.58","","","","NaN"
"1.2550","497","41.7","20.9","0.0015","540.68","2.73","","","","NaN"
"1.2750","527","57.5","20.9","0.0005","658.33","2.82","","","","NaN"
"1.2950","558","74.4","20.9","0.0005","707.82","2.85","","","","NaN"
"1.3150","588","93.0","20.9","0.0005","866.41","2.94","","","","NaN"
"1.3350","618","112.7","20.9","0.0005","953.85","2.98","","","","NaN"
"1.3550","648","132.7","20.9","0.0005","820.05","2.91","","","","NaN"
"1.3750","678","150.0","20.9","0.0005","646.96","2.81","","","","NaN"
"1.3950","708","162.0","20.9","0.0005","523.70","2.72","","","","NaN"
"1.4150","731","169.2","20.9","0.0010","449.69","2.65","","","","NaN"
"1.4520","752","179.5","20.9","0.0020","323.18","2.51","","","","NaN"
"1.4895","766","187.0","20.9","0.0025","237.17","2.38","","","","NaN"
"1.5440","780","195.4","21.0","0.0040","","","","","",""
"1.6115","791","202.9","21.0","0.0060","","","","","",""
"1.7125","803","211.5","20.9","0.0085","","","","","",""
"1.8335","811","218.7","21.0","0.0145","","","","","",""
"2.0275","821","227.4","21.0","0.0195","","","","","",""
"Scope 1/1, Sample 4/9 (20240726_5)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","110.7","20.6","NaN","","","","","",""
"0.0200","28","53.8","20.6","0.0005","","","","","",""
"0.0400","167","-54.5","20.6","0.0000","","","","","",""
"0.0600","171","-54.9","20.6","0.0055","","","","","",""
"0.1100","174","-55.1","20.6","0.0180","","","","","",""
"0.2350","204","-41.4","20.6","0.0040","556.77","2.75","","","","NaN"
"0.2620","234","-30.8","20.6","0.0010","170.84","2.23","","","","NaN"
"0.2820","264","-23.6","20.6","0.0005","111.98","2.05","","","","NaN"
"0.3065","295","-18.1","20.6","0.0010","107.36","2.03","","","","NaN"
"0.3630","325","-13.0","20.6","0.0020","101.23","2.01","","","","NaN"
"0.5040","355","-6.5","20.6","0.0045","52.48","1.72","","","","NaN"
"0.7040","385","0.3","20.7","0.0065","3.68","0.57","","","","NaN"
"0.9040","415","8.3","20.7","0.0065","31.76","1.50","","","","NaN"
"1.1040","446","18.5","20.7","0.0065","184.51","2.27","","","","NaN"
"1.2275","476","32.8","20.7","0.0040","409.78","2.61","","","","NaN"
"1.2580","506","47.7","20.7","0.0010","559.83","2.75","","","","NaN"
"1.2780","536","64.0","20.7","0.0005","665.93","2.82","","","","NaN"
"1.2980","566","81.4","20.7","0.0005","702.17","2.85","","","","NaN"
"1.3180","596","100.5","20.7","0.0005","893.35","2.95","","","","NaN"
"1.3380","627","120.4","20.7","0.0005","902.73","2.96","","","","NaN"
"1.3580","657","139.4","20.7","0.0005","745.08","2.87","","","","NaN"
"1.3780","687","154.4","20.8","0.0005","586.81","2.77","","","","NaN"
"1.3980","714","164.0","20.8","0.0005","486.95","2.69","","","","NaN"
"1.4240","735","172.4","20.8","0.0010","394.24","2.60","","","","NaN"
"1.4610","754","181.8","20.8","0.0020","286.70","2.46","","","","NaN"
"1.5010","768","189.2","20.8","0.0030","210.15","2.32","","","","NaN"
"1.5605","781","197.5","20.8","0.0045","","","","","",""
"1.6365","792","205.2","20.8","0.0070","","","","","",""
"1.7455","802","213.4","20.8","0.0105","","","","","",""
"1.8855","812","221.2","20.8","0.0140","","","","","",""
"2.0855","820","229.2","20.8","0.0240","","","","","",""
"Scope 1/1, Sample 5/9 (20240802_3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","108.8","20.4","NaN","","","","","",""
"0.0200","28","47.4","20.4","0.0005","","","","","",""
"0.0400","161","-61.9","20.5","0.0000","","","","","",""
"0.0600","164","-62.2","20.5","0.0065","","","","","",""
"0.1100","168","-62.0","20.5","0.0120","","","","","",""
"0.2350","198","-48.0","20.5","0.0040","621.10","2.79","","","","NaN"
"0.2605","229","-35.9","20.5","0.0010","205.55","2.31","","","","NaN"
"0.2805","259","-28.0","20.5","0.0005","125.25","2.10","","","","NaN"
"0.3045","289","-22.0","20.5","0.0010","117.59","2.07","","","","NaN"
"0.3555","319","-16.4","20.5","0.0015","112.85","2.05","","","","NaN"
"0.4830","349","-10.6","20.5","0.0040","65.03","1.81","","","","NaN"
"0.6830","380","-2.9","20.5","0.0065","3.48","0.54","","","","NaN"
"0.8830","407","3.3","20.5","0.0075","21.52","1.33","","","","NaN"
"1.0830","437","13.1","20.6","0.0065","152.83","2.18","","","","NaN"
"1.2170","467","26.6","20.6","0.0045","363.96","2.56","","","","NaN"
"1.2560","498","41.2","20.6","0.0015","516.68","2.71","","","","NaN"
"1.2760","528","57.2","20.6","0.0005","630.77","2.80","","","","NaN"
"1.2960","558","73.1","20.6","0.0005","683.18","2.83","","","","NaN"
"1.3160","588","90.0","20.6","0.0005","829.77","2.92","","","","NaN"
"1.3360","618","109.1","20.6","0.0005","927.30","2.97","","","","NaN"
"1.3560","648","127.9","20.6","0.0005","819.14","2.91","","","","NaN"
"1.3760","679","145.4","20.6","0.0005","671.35","2.83","","","","NaN"
"1.3960","709","158.3","20.6","0.0005","534.52","2.73","","","","NaN"
"1.4160","734","166.7","20.6","0.0010","452.88","2.66","","","","NaN"
"1.4450","753","175.3","20.6","0.0015","355.58","2.55","","","","NaN"
"1.4835","770","184.0","20.6","0.0025","257.85","2.41","","","","NaN"
"1.5295","784","191.7","20.6","0.0030","185.31","2.27","","","","NaN"
"1.5935","797","199.7","20.6","0.0050","","","","","",""
"1.6800","808","207.7","20.6","0.0080","","","","","",""
"1.7975","818","215.6","20.6","0.0120","","","","","",""
"1.9585","827","223.6","20.6","0.0180","","","","","",""
"2.1585","836","230.9","20.6","0.0235","","","","","",""
"Scope 1/1, Sample 6/9 (20240722_3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","116.3","20.3","NaN","","","","","",""
"0.0200","28","71.9","20.3","0.0005","","","","","",""
"0.0400","179","-23.5","20.4","0.0000","","","","","",""
"0.0600","194","-25.9","20.4","0.0015","","","","","",""
"0.1100","197","-26.3","20.4","0.0170","","","","","",""
"0.2350","227","-19.2","20.4","0.0040","-87.27","1.94","","","","NaN"
"0.3345","257","-12.0","20.4","0.0035","11.88","1.07","","","","NaN"
"0.4230","288","-5.8","20.5","0.0030","36.85","1.57","","","","NaN"
"0.5390","318","-0.1","20.5","0.0040","25.56","1.41","","","","NaN"
"0.7390","335","3.4","20.5","0.0120","20.58","1.31","","","","NaN"
"0.9390","365","11.5","20.5","0.0065","54.19","1.73","","","","NaN"
"1.1345","395","22.4","20.5","0.0065","210.01","2.32","","","","NaN"
"1.2390","426","37.2","20.5","0.0035","413.44","2.62","","","","NaN"
"1.2610","456","51.8","20.6","0.0005","513.31","2.71","","","","NaN"
"1.2810","486","66.4","20.6","0.0005","594.87","2.77","","","","NaN"
"1.3010","516","81.8","20.6","0.0005","637.38","2.80","","","","NaN"
"1.3210","546","97.7","20.6","0.0005","811.90","2.91","","","","NaN"
"1.3410","576","113.7","20.6","0.0005","785.96","2.90","","","","NaN"
"1.3610","607","129.6","20.6","0.0005","713.00","2.85","","","","NaN"
"1.3810","637","144.0","20.6","0.0005","597.46","2.78","","","","NaN"
"1.4010","667","155.6","20.6","0.0005","489.67","2.69","","","","NaN"
"1.4210","690","163.4","20.6","0.0010","413.78","2.62","","","","NaN"
"1.4505","713","173.1","20.7","0.0015","329.86","2.52","","","","NaN"
"1.4800","729","180.3","20.7","0.0020","265.94","2.42","","","","NaN"
"1.5240","744","188.6","20.7","0.0030","198.73","2.30","","","","NaN"
"1.5790","757","196.3","20.7","0.0045","","","","","",""
"1.6555","768","204.3","20.7","0.0070","","","","","",""
"1.7575","778","212.1","20.7","0.0100","","","","","",""
"1.8990","788","220.1","20.7","0.0145","","","","","",""
"2.0930","797","228.1","20.7","0.0225","","","","","",""
"Scope 1/1, Sample 7/9 (20240809_6)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","114.4","20.4","NaN","","","","","",""
"0.0200","28","66.9","20.4","0.0005","","","","","",""
"0.0400","179","-35.3","20.5","0.0000","","","","","",""
"0.0600","186","-36.4","20.5","0.0030","","","","","",""
"0.1100","189","-36.6","20.5","0.0165","","","","","",""
"0.2350","219","-27.0","20.5","0.0040","389.56","2.59","","","","NaN"
"0.2885","249","-19.1","20.5","0.0020","170.79","2.23","","","","NaN"
"0.3165","280","-13.1","20.5","0.0010","78.28","1.89","","","","NaN"
"0.3430","310","-8.2","20.5","0.0010","69.99","1.85","","","","NaN"
"0.3920","336","-3.7","20.5","0.0020","65.11","1.81","","","","NaN"
"0.5145","358","-0.3","20.5","0.0055","36.15","1.56","","","","NaN"
"0.7145","374","3.2","20.6","0.0125","-3.65","0.56","","","","NaN"
"0.9145","404","11.2","20.6","0.0065","35.60","1.55","","","","NaN"
"1.1135","434","22.7","20.6","0.0065","201.52","2.30","","","","NaN"
"1.2095","464","35.8","20.6","0.0030","369.41","2.57","","","","NaN"
"1.2345","495","48.8","20.6","0.0010","465.93","2.67","","","","NaN"
"1.2545","525","62.3","20.6","0.0005","541.29","2.73","","","","NaN"
"1.2745","555","76.6","20.6","0.0005","588.18","2.77","","","","NaN"
"1.2945","585","90.4","20.6","0.0005","736.62","2.87","","","","NaN"
"1.3145","616","104.8","20.6","0.0005","740.92","2.87","","","","NaN"
"1.3345","646","119.4","20.6","0.0005","710.71","2.85","","","","NaN"
"1.3545","676","133.7","20.6","0.0005","644.98","2.81","","","","NaN"
"1.3745","706","147.0","20.6","0.0005","548.30","2.74","","","","NaN"
"1.3945","735","157.5","20.7","0.0005","453.43","2.66","","","","NaN"
"1.4145","757","165.0","20.7","0.0010","387.97","2.59","","","","NaN"
"1.4445","777","174.1","20.7","0.0015","311.83","2.49","","","","NaN"
"1.4770","794","181.9","20.7","0.0020","248.38","2.40","","","","NaN"
"1.5195","808","189.5","20.7","0.0030","190.04","2.28","","","","NaN"
"1.5790","820","197.5","20.7","0.0050","","","","","",""
"1.6595","830","205.5","20.7","0.0075","","","","","",""
"1.7685","840","213.5","20.7","0.0105","","","","","",""
"1.9130","850","221.3","20.7","0.0145","","","","","",""
"2.1130","857","229.1","20.7","0.0280","","","","","",""
"Scope 1/1, Sample 8/9 (20240722_5)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","111.3","20.4","NaN","","","","","",""
"0.0200","28","54.8","20.4","0.0005","","","","","",""
"0.0400","175","-56.2","20.4","0.0000","","","","","",""
"0.0600","178","-56.4","20.4","0.0060","","","","","",""
"0.1100","182","-56.4","20.4","0.0145","","","","","",""
"0.2350","212","-43.3","20.5","0.0040","626.57","2.80","","","","NaN"
"0.2640","242","-32.2","20.5","0.0010","244.43","2.39","","","","NaN"
"0.2840","272","-24.7","20.5","0.0005","122.58","2.09","","","","NaN"
"0.3055","302","-19.0","20.5","0.0005","111.07","2.05","","","","NaN"
"0.3490","332","-13.9","20.5","0.0015","109.61","2.04","","","","NaN"
"0.4580","363","-7.9","20.5","0.0035","73.58","1.87","","","","NaN"
"0.6580","393","-1.3","20.5","0.0065","2.01","0.30","","","","NaN"
"0.8580","411","3.3","20.5","0.0110","11.89","1.08","","","","NaN"
"1.0580","442","12.8","20.5","0.0065","131.79","2.12","","","","NaN"
"1.1975","472","26.1","20.5","0.0045","333.80","2.52","","","","NaN"
"1.2400","502","39.8","20.5","0.0015","474.76","2.68","","","","NaN"
"1.2600","532","53.9","20.5","0.0005","583.91","2.77","","","","NaN"
"1.2800","562","68.8","20.6","0.0005","642.89","2.81","","","","NaN"
"1.3000","593","84.9","20.6","0.0005","766.50","2.88","","","","NaN"
"1.3200","623","102.0","20.6","0.0005","884.52","2.95","","","","NaN"
"1.3400","653","119.7","20.6","0.0005","821.79","2.91","","","","NaN"
"1.3600","683","136.9","20.6","0.0005","712.80","2.85","","","","NaN"
"1.3800","713","151.5","20.6","0.0005","570.67","2.76","","","","NaN"
