"Task","T3186"
"Scope 1/1, Sample 1/9 (20240809_2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","118.4","19.0","NaN","","","","","",""
"0.0200","28","63.2","18.9","0.0005","","","","","",""
"0.0400","179","-46.1","19.0","0.0000","","","","","",""
"0.0600","187","-47.1","19.0","0.0025","","","","","",""
"0.1100","191","-47.3","19.0","0.0140","","","","","",""
"0.2350","221","-36.6","19.1","0.0040","550.13","2.74","","","","NaN"
"0.2790","251","-27.0","19.1","0.0015","245.63","2.39","","","","NaN"
"0.2990","281","-20.3","19.1","0.0005","104.18","2.02","","","","NaN"
"0.3190","311","-15.2","19.1","0.0005","90.88","1.96","","","","NaN"
"0.3600","342","-10.6","19.2","0.0015","89.88","1.95","","","","NaN"
"0.4625","372","-5.8","19.2","0.0035","65.37","1.82","","","","NaN"
"0.6625","402","-0.2","19.2","0.0065","-4.24","0.63","","","","NaN"
"0.8625","418","3.3","19.2","0.0120","-0.48","-0.32","","","","NaN"
"1.0625","449","12.3","19.2","0.0065","126.20","2.10","","","","NaN"
"1.2205","479","25.8","19.3","0.0055","393.46","2.59","","","","NaN"
"1.2700","509","42.4","19.3","0.0015","586.95","2.77","","","","NaN"
"1.2900","539","60.2","19.3","0.0005","714.53","2.85","","","","NaN"
"1.3100","570","80.2","19.3","0.0005","754.44","2.88","","","","NaN"
"1.3300","600","101.8","19.3","0.0005","889.17","2.95","","","","NaN"
"1.3500","630","124.6","19.4","0.0005","980.49","2.99","","","","NaN"
"1.3700","660","145.2","19.4","0.0005","752.18","2.88","","","","NaN"
"1.3900","690","159.9","19.4","0.0005","595.21","2.77","","","","NaN"
"1.4100","719","168.6","19.4","0.0005","507.34","2.71","","","","NaN"
"1.4410","741","177.3","19.4","0.0015","382.56","2.58","","","","NaN"
"1.4855","761","186.8","19.4","0.0025","255.51","2.41","","","","NaN"
"1.5350","776","194.4","19.5","0.0035","176.05","2.25","","","","NaN"
"1.6075","789","202.6","19.5","0.0055","","","","","",""
"1.7030","801","210.6","19.5","0.0080","","","","","",""
"1.8330","811","218.5","19.5","0.0125","","","","","",""
"2.0125","821","226.5","19.5","0.0180","","","","","",""
"2.2125","830","233.2","19.5","0.0230","","","","","",""
"Scope 1/1, Sample 2/9 (20240710_7)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","115.2","19.1","NaN","","","","","",""
"0.0200","28","61.0","19.1","0.0005","","","","","",""
"0.0400","179","-51.7","19.2","0.0000","","","","","",""
"0.0600","186","-52.4","19.2","0.0030","","","","","",""
"0.1100","189","-52.5","19.2","0.0180","","","","","",""
"0.2350","219","-41.0","19.3","0.0040","606.41","2.78","","","","NaN"
"0.2725","249","-30.4","19.3","0.0010","279.19","2.45","","","","NaN"
"0.2925","280","-23.2","19.3","0.0005","115.06","2.06","","","","NaN"
"0.3125","310","-17.7","19.3","0.0005","101.73","2.01","","","","NaN"
"0.3500","340","-13.0","19.3","0.0015","102.90","2.01","","","","NaN"
"0.4440","370","-8.1","19.4","0.0030","80.82","1.91","","","","NaN"
"0.6440","400","-1.7","19.4","0.0065","7.41","0.87","","","","NaN"
"0.8440","424","3.5","19.4","0.0085","5.65","0.75","","","","NaN"
"1.0440","454","12.6","19.4","0.0065","105.87","2.02","","","","NaN"
"1.2005","484","24.7","19.5","0.0050","316.71","2.50","","","","NaN"
"1.2605","515","39.3","19.5","0.0020","499.32","2.70","","","","NaN"
"1.2805","545","54.7","19.5","0.0005","629.99","2.80","","","","NaN"
"1.3005","575","71.4","19.5","0.0005","693.99","2.84","","","","NaN"
"1.3205","605","89.4","19.5","0.0005","787.11","2.90","","","","NaN"
"1.3405","635","109.1","19.6","0.0005","964.69","2.98","","","","NaN"
"1.3605","666","129.7","19.6","0.0005","839.89","2.92","","","","NaN"
"1.3805","696","147.1","19.6","0.0005","673.33","2.83","","","","NaN"
