"Task","T3182"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","170.4","22.2"
"2","170.4","22.2"
"3","170.5","22.2"
"4","170.5","22.2"
"5","170.5","22.2"
"6","170.6","22.2"
"7","170.6","22.2"
"8","170.6","22.2"
"9","170.6","22.2"
"10","170.6","22.2"
"11","170.6","22.2"
"12","170.6","22.2"
"13","170.7","22.2"
"14","170.6","22.2"
"15","170.7","22.2"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-1.6","22.2"
"2","-1.6","22.2"
"3","-1.6","22.2"
"4","-1.6","22.2"
"5","-1.6","22.2"
"6","-1.6","22.2"
"7","-1.6","22.2"
"8","-1.7","22.2"
"9","-1.6","22.2"
"10","-1.7","22.2"
"11","-1.6","22.2"
"12","-1.6","22.2"
"13","-1.6","22.2"
"14","-1.6","22.2"
"15","-1.6","22.2"
"16","-1.6","22.2"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-174.1","22.3"
"2","-174.1","22.3"
"3","-174.1","22.3"
"4","-174.1","22.3"
"5","-174.1","22.3"
"6","-174.2","22.3"
"7","-174.2","22.3"
"8","-174.2","22.3"
"9","-174.2","22.3"
"10","-174.2","22.3"
"11","-174.2","22.3"
"12","-174.2","22.3"
"13","-174.1","22.3"
"14","-174.2","22.3"
"15","-174.2","22.3"
