Task,T3203,,,,,,,,,
"Scope 1/1, Sample 1/2 (JUNK1)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,59.9,22.2,NaN,,,,,,
0.02,26,-50.7,22.2,0.001,,,,,,
0.04,56,-83.6,22.2,0.0005,,,,,,
0.0725,61,-85.5,22.2,0.0065,,,,,,
0.1535,64,-85.8,22.2,0.0255,,,,,,
0.3535,94,-66.5,22.2,0.0065,,,,,,
0.4915,125,-46,22.2,0.0045,,,,,,
0.5615,155,-31.5,22.2,0.0025,,,,,,
0.6165,185,-21.7,22.2,0.002,,,,,,
0.7205,215,-13.4,22.2,0.0035,14.62,1.16,,,,NaN
0.9205,245,-3.2,22.2,0.0065,-14.15,1.15,,,,NaN
1.1205,253,-0.8,22.2,0.025,63.28,1.8,,,,NaN
1.3205,283,14.7,22.2,0.0065,297.06,2.47,,,,NaN
1.5205,314,102.7,22.2,0.0065,434.2,2.64,,,,NaN
1.5405,454,173.7,22.2,0,376.76,2.58,,,,NaN
1.5605,470,179.2,22.2,0.001,445.53,2.65,,,,NaN
1.6105,487,189.9,22.2,0.003,364.78,2.56,,,,NaN
1.658,500,197.3,22.2,0.0035,248.75,2.4,,,,NaN
1.7275,511,205.4,22.2,0.0065,186.77,2.27,,,,NaN
1.8205,521,213.3,22.2,0.0095,89.97,1.95,,,,NaN
1.949,530,221.5,22.2,0.015,63.75,1.8,,,,NaN
2.1175,538,229.2,22.2,0.022,43.98,1.64,,,,NaN
2.3175,546,236.1,22.2,0.0255,31.16,1.49,,,,NaN
2.5175,553,241.5,22.2,0.029,24.12,1.38,,,,NaN
2.7175,560,245.9,22.2,0.029,19.32,1.29,,,,NaN
2.9175,566,249.6,22.2,0.0335,,,,,,
3.1175,572,252.9,22.2,0.0315,,,,,,
3.3175,579,255.8,22.2,0.0285,,,,,,
3.5175,586,258.3,22.2,0.0305,,,,,,
3.56,590,258.8,22.2,0.011,,,,,,
"Scope 1/1, Sample 2/2 (CRM1)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,114.7,22,NaN,,,,,,
0.02,28,65.9,22,0.0005,,,,,,
0.04,179,-31,22,0,,,,,,
0.06,185,-31.9,22,0.0035,,,,,,
0.11,188,-32.1,22,0.015,,,,,,
0.235,218,-23.2,22,0.004,227.87,2.36,,,,NaN
0.297,249,-15.6,22,0.002,104.01,2.02,,,,NaN
0.336,279,-9.6,22,0.0015,67.31,1.83,,,,NaN
0.3765,309,-3.9,22,0.0015,59.95,1.78,,,,NaN
0.44,331,-0.4,22,0.003,48.21,1.68,,,,NaN
0.599,346,3.2,22,0.0105,12.91,1.11,,,,NaN
0.799,377,11.4,22,0.0065,29.47,1.47,,,,NaN
0.992,407,23.7,22,0.0065,176.6,2.25,,,,NaN
1.0725,437,34.7,22,0.0025,293.96,2.47,,,,NaN
1.0995,467,45.2,22,0.001,347.11,2.54,,,,NaN
1.1195,498,55.3,22,0.0005,385.69,2.59,,,,NaN
1.1395,528,65.1,22,0.0005,420.01,2.62,,,,NaN
1.1595,558,74.9,22,0.0005,505.9,2.7,,,,NaN
1.1795,588,84.4,22,0.0005,479.12,2.68,,,,NaN
1.1995,618,93.7,22,0.0005,466.08,2.67,,,,NaN
1.2195,648,103,22,0.0005,477.64,2.68,,,,NaN
1.2395,679,112.4,22,0.0005,501.52,2.7,,,,NaN
1.2595,709,122.5,22,0.0005,528.36,2.72,,,,NaN
1.2795,739,133.2,22,0.0005,535.83,2.73,,,,NaN
1.2995,769,144.6,22,0.0005,506.12,2.7,,,,NaN
1.3195,799,155,22,0.0005,438.2,2.64,,,,NaN
1.3395,825,163.7,22,0.001,377.04,2.58,,,,NaN
1.3615,846,171.2,22,0.001,327.63,2.52,,,,NaN
1.3915,865,179.3,22,0.0015,271.7,2.43,,,,NaN
1.429,878,186.7,22,0.003,215.42,2.33,,,,NaN
1.4835,892,195.6,22,0.004,161.07,2.21,,,,NaN
1.544,902,202.5,22,0.006,,,,,,
1.643,914,211.1,22,0.008,,,,,,
1.763,924,218.7,22,0.0125,,,,,,
1.9395,932,226.8,22,0.022,,,,,,
2.1395,940,233.8,22,0.024,,,,,,
