"Task","T3202"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","170.2","22.0"
"2","170.2","22.0"
"3","170.2","22.0"
"4","170.3","22.0"
"5","170.3","22.0"
"6","170.3","22.0"
"7","170.4","22.0"
"8","170.4","22.0"
"9","170.4","22.0"
"10","170.4","22.0"
"11","170.4","22.0"
"12","170.4","22.0"
"13","170.4","22.0"
"14","170.5","22.0"
"15","170.5","22.0"
"16","170.5","22.0"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-2.2","21.9"
"2","-2.2","21.9"
"3","-2.2","21.9"
"4","-2.2","21.9"
"5","-2.2","21.9"
"6","-2.2","21.9"
"7","-2.2","21.9"
"8","-2.2","21.9"
"9","-2.1","21.9"
"10","-2.1","21.9"
"11","-2.2","21.9"
"12","-2.2","21.9"
"13","-2.2","21.9"
"14","-2.1","21.9"
"15","-2.1","21.9"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-175.5","22.0"
"2","-175.6","22.0"
"3","-175.6","22.0"
"4","-175.6","22.0"
"5","-175.6","22.0"
"6","-175.6","22.0"
"7","-175.6","22.0"
"8","-175.6","22.0"
"9","-175.6","22.0"
"10","-175.6","22.0"
"11","-175.6","22.0"
"12","-175.7","22.0"
"13","-175.7","22.0"
"14","-175.6","22.0"
"15","-175.6","22.0"
"16","-175.6","22.0"
