"Task","T3205"
"Scope 1/1, Sample 1/5 (JUNK_3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","101.0","24.2","NaN","","","","","",""
"0.0200","28","23.5","24.3","0.0005","","","","","",""
"0.0400","151","-66.9","24.2","0.0000","","","","","",""
"0.0600","154","-66.9","24.1","0.0065","","","","","",""
"0.1100","184","-60.3","24.1","0.0015","","","","","",""
"0.1300","214","-55.3","24.1","0.0005","31.47","1.50","","","","NaN"
"0.1500","238","-51.9","24.1","0.0010","69.48","1.84","","","","NaN"
"0.2000","268","-45.0","24.0","0.0015","160.03","2.20","","","","NaN"
"0.2710","298","-35.0","24.0","0.0025","147.80","2.17","","","","NaN"
"0.3260","329","-26.1","24.0","0.0020","121.40","2.08","","","","NaN"
"0.3695","359","-19.1","24.0","0.0015","105.36","2.02","","","","NaN"
"0.4195","389","-13.1","23.9","0.0015","92.08","1.96","","","","NaN"
"0.5100","419","-7.2","23.9","0.0030","69.10","1.84","","","","NaN"
"0.7100","450","-0.2","23.9","0.0065","29.91","1.48","","","","NaN"
"0.9100","480","7.4","23.9","0.0065","23.98","1.38","","","","NaN"
"1.1100","510","16.4","23.8","0.0065","62.01","1.79","","","","NaN"
"1.2685","540","26.3","23.8","0.0055","135.22","2.13","","","","NaN"
"1.3615","570","36.4","23.8","0.0030","207.68","2.32","","","","NaN"
"1.4030","600","46.1","23.8","0.0015","245.00","2.39","","","","NaN"
"1.4230","631","55.0","23.8","0.0005","231.26","2.36","","","","NaN"
"1.4430","661","63.2","23.7","0.0005","273.83","2.44","","","","NaN"
"1.4640","691","70.8","23.7","0.0005","297.38","2.47","","","","NaN"
"1.4895","721","78.0","23.7","0.0010","234.31","2.37","","","","NaN"
"1.5260","751","85.5","23.7","0.0010","186.45","2.27","","","","NaN"
"1.5785","782","95.1","23.6","0.0015","230.00","2.36","","","","NaN"
"1.6275","812","107.5","23.6","0.0015","344.29","2.54","","","","NaN"
"1.6505","842","119.4","23.6","0.0010","408.98","2.61","","","","NaN"
"1.6705","872","130.5","23.6","0.0005","461.76","2.66","","","","NaN"
"1.6905","902","141.1","23.6","0.0005","498.94","2.70","","","","NaN"
"1.7105","933","151.1","23.6","0.0005","479.48","2.68","","","","NaN"
"1.7305","963","160.0","23.5","0.0005","398.34","2.60","","","","NaN"
"1.7505","988","167.7","23.5","0.0010","345.54","2.54","","","","NaN"
"1.7745","1009","175.2","23.5","0.0010","297.94","2.47","","","","NaN"
"1.8060","1028","183.0","23.5","0.0015","246.98","2.39","","","","NaN"
"1.8470","1044","190.9","23.5","0.0025","195.94","2.29","","","","NaN"
"1.8995","1058","198.6","23.5","0.0040","","","","","",""
"1.9730","1070","206.6","23.5","0.0060","","","","","",""
"2.0705","1081","214.4","23.5","0.0090","","","","","",""
"2.2070","1090","222.4","23.5","0.0150","","","","","",""
"2.3925","1098","230.4","23.5","0.0220","","","","","",""
"Scope 1/1, Sample 2/5 (S20240809_5)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","122.0","20.2","NaN","","","","","",""
"0.0200","28","83.6","20.2","0.0005","","","","","",""
"0.0400","179","14.6","20.3","0.0000","","","","","",""
"0.0600","209","10.2","20.3","0.0005","","","","","",""
"0.1100","212","9.9","20.3","0.0155","","","","","",""
"0.2350","216","9.9","20.3","0.0355","-155.53","2.19","","","","NaN"
"0.4350","246","15.3","20.4","0.0065","28.29","1.45","","","","NaN"
"0.6350","276","24.8","20.4","0.0065","323.82","2.51","","","","NaN"
"0.7750","306","66.0","20.4","0.0045","523.87","2.72","","","","NaN"
"0.7950","336","118.4","20.4","0.0005","435.92","2.64","","","","NaN"
"0.8150","366","155.2","20.5","0.0005","461.91","2.66","","","","NaN"
"0.8350","397","168.4","20.5","0.0005","513.74","2.71","","","","NaN"
"0.8685","419","177.5","20.5","0.0015","387.08","2.59","","","","NaN"
"0.9400","437","190.2","20.5","0.0040","321.20","2.51","","","","NaN"
"1.0090","450","198.4","20.5","0.0055","169.02","2.23","","","","NaN"
"1.1095","461","207.2","20.5","0.0090","","","","","",""
"1.2345","472","215.0","20.5","0.0120","","","","","",""
"1.4120","481","223.1","20.5","0.0195","","","","","",""
"1.6120","490","230.0","20.6","0.0230","","","","","",""
"1.8120","498","235.3","20.6","0.0255","","","","","",""
"Scope 1/1, Sample 3/5 (S20240726_2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","112.3","20.2","NaN","","","","","",""
"0.0200","27","53.2","20.2","0.0005","","","","","",""
"0.0400","178","-57.4","20.3","0.0000","","","","","",""
"0.0600","182","-57.6","20.3","0.0055","","","","","",""
"0.1100","212","-53.3","20.3","0.0015","","","","","",""
"0.1530","242","-46.0","20.4","0.0015","297.53","2.47","","","","NaN"
"0.1770","272","-38.7","20.4","0.0010","40.91","1.61","","","","NaN"
"0.1970","302","-32.6","20.4","0.0005","135.59","2.13","","","","NaN"
"0.2225","333","-27.1","20.4","0.0010","136.67","2.14","","","","NaN"
"0.2770","363","-21.4","20.4","0.0020","119.65","2.08","","","","NaN"
"0.4130","393","-14.6","20.5","0.0045","61.29","1.79","","","","NaN"
"0.6130","423","-6.7","20.5","0.0065","21.27","1.33","","","","NaN"
"0.8130","453","1.8","20.5","0.0065","35.32","1.55","","","","NaN"
"0.9915","484","10.8","20.5","0.0060","108.51","2.04","","","","NaN"
"1.1245","514","22.1","20.6","0.0045","228.33","2.36","","","","NaN"
"1.1810","544","32.9","20.6","0.0020","339.08","2.53","","","","NaN"
"1.2010","574","43.7","20.6","0.0005","414.14","2.62","","","","NaN"
"1.2210","604","54.8","20.6","0.0005","461.44","2.66","","","","NaN"
"1.2410","635","65.9","20.6","0.0005","537.71","2.73","","","","NaN"
"1.2610","665","77.4","20.7","0.0005","622.22","2.79","","","","NaN"
"1.2810","695","89.5","20.7","0.0005","619.35","2.79","","","","NaN"
"1.3010","725","101.9","20.7","0.0005","663.28","2.82","","","","NaN"
"1.3210","755","114.9","20.7","0.0005","657.38","2.82","","","","NaN"
"1.3410","786","128.5","20.7","0.0005","610.72","2.79","","","","NaN"
"1.3610","816","141.9","20.7","0.0005","522.03","2.72","","","","NaN"
"1.3810","846","153.6","20.8","0.0005","437.52","2.64","","","","NaN"
"1.4010","867","158.4","20.8","0.0010","380.31","2.58","","","","NaN"
"1.4510","892","172.6","20.8","0.0020","264.82","2.42","","","","NaN"
"1.4745","909","178.9","20.8","0.0015","236.70","2.37","","","","NaN"
"1.5060","924","185.3","20.8","0.0020","199.35","2.30","","","","NaN"
"1.5575","938","193.6","20.8","0.0040","157.26","2.20","","","","NaN"
"1.6200","950","201.0","20.8","0.0055","","","","","",""
"1.7105","960","209.1","20.8","0.0090","","","","","",""
"1.8300","969","216.8","20.8","0.0130","","","","","",""
