Task,T1621
Scope 1/1, Sample 1/9 (JUNK3)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,30.1,21.9,NaN,,,,,,
0.0200,27,-50.8,21.9,0.0005,,,,,,
0.0400,40,-55.7,21.9,0.0015,,,,,,
0.0900,43,-55.8,21.9,0.0165,,,,,,
0.2150,73,-32.6,21.9,0.0040,,,,,,
0.2525,103,-16.2,21.9,0.0010,,,,,,
0.2725,127,-9.1,21.9,0.0010,,,,,,
0.3225,147,-2.2,21.9,0.0025,,,,,,
0.4475,161,3.5,21.9,0.0090,,,,,,
0.6475,191,19.3,21.9,0.0065,,,,,,
0.8475,221,36.0,21.9,0.0065,84.18,1.93,,,,NaN
1.0320,251,53.7,21.9,0.0060,124.97,2.10,,,,NaN
1.1765,282,73.5,21.9,0.0045,167.60,2.22,,,,NaN
1.2585,312,89.5,21.9,0.0025,199.14,2.30,,,,NaN
1.3160,339,101.6,21.9,0.0020,229.72,2.36,,,,NaN
1.3515,484,110.5,21.9,0.0000,255.48,2.41,,,,NaN
1.3785,508,115.9,21.9,0.0010,273.79,2.44,,,,NaN
1.4275,536,128.8,21.9,0.0015,316.89,2.50,,,,NaN
1.4510,560,137.1,21.9,0.0010,345.94,2.54,,,,NaN
1.4710,578,145.2,21.9,0.0010,387.59,2.59,,,,NaN
1.4910,594,154.3,21.9,0.0010,418.16,2.62,,,,NaN
1.5110,610,163.0,21.9,0.0010,393.95,2.60,,,,NaN
1.5310,623,171.0,21.9,0.0015,341.96,2.53,,,,NaN
1.5530,636,178.4,21.9,0.0015,301.24,2.48,,,,NaN
1.5815,646,186.1,21.9,0.0025,259.27,2.41,,,,NaN
1.6180,656,193.8,21.9,0.0035,212.19,2.33,,,,NaN
1.6680,666,201.8,21.9,0.0050,,,,,,
1.7320,674,209.4,21.9,0.0080,,,,,,
1.8240,682,217.6,21.9,0.0115,,,,,,
1.9450,690,225.4,21.9,0.0155,,,,,,
2.1130,698,233.4,21.9,0.0220,,,,,,
Scope 1/1, Sample 2/9 (1_High_Sq2_20220708)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,78.2,16.9,NaN,,,,,,
0.0200,28,15.6,16.8,0.0005,,,,,,
0.0400,58,-8.7,16.8,0.0005,,,,,,
0.0735,63,-10.7,16.9,0.0075,,,,,,
0.1575,66,-11.1,16.9,0.0290,,,,,,
0.3575,93,3.6,16.9,0.0075,,,,,,
0.5575,123,17.8,17.0,0.0065,,,,,,
0.7575,153,33.5,17.1,0.0065,107.58,2.03,,,,NaN
0.9575,184,54.6,17.2,0.0065,192.84,2.29,,,,NaN
1.0725,214,78.2,17.2,0.0040,266.11,2.43,,,,NaN
1.1125,244,95.7,17.3,0.0015,296.29,2.47,,,,NaN
1.1325,268,104.4,17.3,0.0010,311.91,2.49,,,,NaN
1.1525,405,110.8,17.5,0.0000,341.17,2.53,,,,NaN
1.1860,435,119.1,17.6,0.0010,359.21,2.56,,,,NaN
1.2285,463,133.1,17.6,0.0015,345.88,2.54,,,,NaN
1.2485,487,141.4,17.7,0.0010,396.12,2.60,,,,NaN
1.2685,507,150.9,17.7,0.0010,423.72,2.63,,,,NaN
1.2885,525,160.0,17.7,0.0010,402.33,2.60,,,,NaN
1.3085,542,168.3,17.8,0.0010,348.79,2.54,,,,NaN
1.3295,555,175.2,17.8,0.0015,308.10,2.49,,,,NaN
1.3600,567,183.6,17.8,0.0025,260.71,2.42,,,,NaN
1.3945,578,190.8,17.8,0.0030,214.46,2.33,,,,NaN
1.4440,588,198.7,17.8,0.0050,,,,,,
1.5105,597,206.7,17.8,0.0075,,,,,,
1.6005,606,214.5,17.9,0.0100,,,,,,
1.7250,614,222.5,17.9,0.0150,,,,,,
1.8975,623,230.6,17.9,0.0195,,,,,,
Scope 1/1, Sample 3/9 (2_High_Sq2_20220708)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,76.1,17.7,NaN,,,,,,
0.0200,28,12.9,17.6,0.0005,,,,,,
0.0400,58,-11.1,17.7,0.0005,,,,,,
0.0755,62,-12.7,17.7,0.0085,,,,,,
0.1645,92,-2.6,17.7,0.0030,,,,,,
0.2630,109,3.4,17.8,0.0060,,,,,,
0.4630,139,16.4,17.8,0.0065,,,,,,
0.6630,169,30.7,17.9,0.0065,70.32,1.85,,,,NaN
