Task,T1646
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,180.9,22.7
2,180.8,22.7
3,180.8,22.7
4,180.8,22.7
5,180.8,22.7
6,180.8,22.7
7,180.8,22.7
8,180.8,22.7
9,180.8,22.7
10,180.8,22.7
11,180.8,22.7
12,180.8,22.7
13,180.8,22.7
14,180.8,22.7
15,180.8,22.6
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,13.0,22.4
2,13.0,22.4
3,13.0,22.4
4,13.0,22.4
5,13.0,22.4
6,13.0,22.4
7,13.0,22.4
8,13.0,22.4
9,13.0,22.4
10,13.0,22.4
11,13.0,22.4
12,13.0,22.4
13,13.0,22.4
14,13.0,22.4
15,13.0,22.4
16,13.0,22.4
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-159.8,22.3
2,-159.8,22.3
3,-159.8,22.3
4,-159.9,22.3
5,-160.0,22.3
6,-160.0,22.3
7,-160.1,22.3
8,-160.1,22.3
9,-160.2,22.3
10,-160.2,22.3
11,-160.3,22.3
12,-160.3,22.3
13,-160.3,22.3
14,-160.4,22.3
15,-160.4,22.3
16,-160.5,22.3
