Task,T1670
Scope 1/1, Sample 1/1 (CRM2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,47.4,22.8,NaN,,,,,,
0.0200,25,-31.8,22.8,0.0010,,,,,,
0.0400,43,-40.4,22.8,0.0010,,,,,,
0.0900,46,-40.8,22.8,0.0145,,,,,,
0.2150,77,-14.3,22.8,0.0040,,,,,,
0.2435,106,-0.9,22.8,0.0010,,,,,,
0.2635,109,-0.3,22.8,0.0060,,,,,,
0.3135,118,3.3,22.8,0.0055,,,,,,
0.4385,149,19.3,22.8,0.0040,,,,,,
0.5170,179,29.6,22.8,0.0025,,,,,,
0.6335,209,41.4,22.7,0.0040,73.55,1.87,,,,NaN
0.8335,239,55.9,22.7,0.0065,89.83,1.95,,,,NaN
1.0335,270,76.7,22.7,0.0065,165.78,2.22,,,,NaN
1.1520,300,99.7,22.7,0.0040,253.46,2.40,,,,NaN
1.1960,328,114.7,22.7,0.0015,298.26,2.47,,,,NaN
1.2160,465,120.3,22.7,0.0000,319.34,2.50,,,,NaN
1.2510,492,130.8,22.7,0.0015,354.17,2.55,,,,NaN
1.2755,514,139.8,22.7,0.0010,377.16,2.58,,,,NaN
1.2955,534,148.4,22.7,0.0010,395.58,2.60,,,,NaN
1.3155,551,157.3,22.7,0.0010,413.50,2.62,,,,NaN
1.3355,566,165.9,22.7,0.0015,378.49,2.58,,,,NaN
1.3555,579,173.5,22.7,0.0015,328.45,2.52,,,,NaN
1.3790,591,181.0,22.7,0.0020,289.51,2.46,,,,NaN
1.4090,602,188.5,22.7,0.0030,246.62,2.39,,,,NaN
1.4500,612,196.6,22.7,0.0040,,,,,,
1.5010,621,204.1,22.7,0.0055,,,,,,
1.5750,629,212.2,22.7,0.0090,,,,,,
1.6720,637,220.1,22.7,0.0120,,,,,,
1.8055,645,228.0,22.7,0.0170,,,,,,
