Junk3,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
0,0,64.5,NaN,18.9,,,
0.02,28,-33.5,0.0005,19,,,
0.04,58,-59.5,0.0005,19,,,
0.0865,61,-60,0.016,19,,,
0.2025,91,-40.1,0.004,19,,,
0.246,121,-23.2,0.0015,19,,,
0.266,146,-15.2,0.001,19,,,
0.3055,163,-10.3,0.0025,19,,,
0.4045,184,-1.4,0.0045,19,,,
0.6045,214,12.2,0.0065,19,17.34,1.24,
0.8045,244,26.6,0.0065,19,65.37,1.82,
1.0045,275,47.1,0.0065,19,259.44,2.41,
1.1265,305,76.6,0.004,19,447.51,2.65,
1.1545,335,100.2,0.001,19,483.01,2.68,
1.170891,,117.1,,,600.89,,EQP1
1.1745,479,120.8,0,19,478.43,2.68,
1.1945,507,130.3,0.0005,19,502.27,2.7,
1.231,535,149.6,0.0015,19,551.73,2.74,
1.251,553,158.6,0.001,18.9,390.38,2.59,
1.2725,568,166.7,0.0015,18.9,336.85,2.53,
1.2975,582,173.8,0.002,18.9,284.68,2.45,
1.334,594,181.7,0.003,18.9,232.73,2.37,
1.383,605,189.8,0.0045,18.9,172.56,2.24,
1.4465,615,197.6,0.0065,18.9,,,
1.5345,623,205.5,0.0105,18.9,,,
1.656,632,213.4,0.014,18.9,,,
1.824,640,221.5,0.0215,18.9,,,
2.024,647,228.5,0.0295,18.9,,,
,,,,,,,
1_C_Sq1_20220706,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
0,0,79.8,NaN,18.8,,,
0.02,28,0.6,0.0005,18.8,,,
0.04,58,-35.3,0.0005,18.8,,,
0.06,80,-43.2,0.001,18.8,,,
0.11,84,-43.6,0.0135,18.8,,,
0.235,114,-24.3,0.004,18.8,,,
0.2885,144,-11.8,0.002,18.8,,,
0.334,168,-3.8,0.002,18.8,,,
0.448,173,-0.4,0.0215,18.8,,,
0.648,204,12.8,0.0065,18.8,30.87,1.49,
0.848,234,26.3,0.0065,18.8,73.75,1.87,
1.048,264,46.4,0.0065,18.8,251.94,2.4,
1.1745,294,78.5,0.004,18.8,424.66,2.63,
1.1995,324,101.4,0.001,18.8,456.59,2.66,
1.215539,,114.8,,,570,,EQP1
1.2195,468,118.1,0,18.8,454.42,2.66,
1.2395,494,126.3,0.001,18.8,482.02,2.68,
1.2795,523,146.5,0.0015,18.8,518.36,2.71,
1.2995,542,155.6,0.001,18.8,377.83,2.58,
1.3195,558,163.1,0.0015,18.8,334.68,2.52,
1.3455,572,171.1,0.002,18.8,284.5,2.45,
1.3765,584,178.4,0.0025,18.8,243.84,2.39,
1.421,594,186.3,0.0045,18.8,186.95,2.27,
1.4805,604,194.5,0.006,18.8,140.52,2.15,
1.557,613,202.1,0.0085,18.8,,,
1.667,621,210,0.0135,18.8,,,
1.8195,629,218.1,0.019,18.8,,,
2.0195,637,225.8,0.025,18.8,,,
2.2195,644,231.7,0.027,18.8,,,
,,,,,,,
2_C_Sq1_20220706,,,,,,,
