Task,T1971
Scope 1/1, Sample 1/2 (20230516_Junk1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,71.5,19.5,NaN,,,,,,
0.0200,26,-34.4,19.5,0.0010,,,,,,
0.0400,56,-60.0,19.5,0.0005,,,,,,
0.0900,59,-60.6,19.5,0.0170,,,,,,
0.2150,89,-38.5,19.5,0.0040,,,,,,
0.2560,119,-20.6,19.4,0.0015,,,,,,
0.2760,144,-12.6,19.4,0.0010,,,,,,
0.3195,168,-6.1,19.4,0.0020,,,,,,
0.4285,184,-0.4,19.4,0.0065,,,,,,
0.6285,214,15.0,19.4,0.0065,15.02,1.18,,,,NaN
0.8285,245,29.5,19.4,0.0065,78.20,1.89,,,,NaN
1.0285,275,50.6,19.4,0.0065,282.11,2.45,,,,NaN
1.1445,305,82.9,19.4,0.0040,466.55,2.67,,,,NaN
1.1660,335,106.4,19.4,0.0005,497.81,2.70,,,,NaN
1.1860,480,123.5,19.3,0.0000,488.76,2.69,,,,NaN
1.2060,506,133.2,19.3,0.0010,512.75,2.71,,,,NaN
1.2350,533,148.8,19.3,0.0010,557.82,2.75,,,,NaN
1.2550,552,158.3,19.3,0.0010,402.26,2.60,,,,NaN
1.2750,566,165.8,19.3,0.0015,349.75,2.54,,,,NaN
1.3020,580,174.0,19.3,0.0020,291.18,2.46,,,,NaN
1.3345,592,181.5,19.3,0.0025,242.27,2.38,,,,NaN
1.3800,604,189.5,19.3,0.0040,183.50,2.26,,,,NaN
1.4410,613,197.4,19.3,0.0065,,,,,,
1.5240,623,205.3,19.3,0.0085,,,,,,
1.6365,632,213.2,19.3,0.0130,,,,,,
1.7940,640,221.2,19.3,0.0205,,,,,,
1.9940,648,228.7,19.3,0.0245,,,,,,
Scope 1/1, Sample 2/2 (20230516_CRM1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,78.4,19.2,NaN,,,,,,
0.0200,28,-5.3,19.2,0.0005,,,,,,
0.0400,58,-41.1,19.2,0.0005,,,,,,
0.0610,71,-46.2,19.2,0.0015,,,,,,
0.1135,74,-46.8,19.2,0.0165,,,,,,
0.2445,104,-25.5,19.2,0.0045,,,,,,
0.2930,135,-12.1,19.2,0.0015,,,,,,
0.3275,160,-3.9,19.2,0.0015,,,,,,
0.4060,171,-0.6,19.2,0.0070,,,,,,
0.6020,182,3.4,19.2,0.0185,,,,,,
0.8020,212,18.6,19.2,0.0065,40.59,1.61,,,,NaN
1.0020,242,36.7,19.1,0.0065,172.68,2.24,,,,NaN
1.1575,272,62.0,19.1,0.0050,338.95,2.53,,,,NaN
1.2125,302,85.9,19.1,0.0020,408.36,2.61,,,,NaN
1.2325,332,102.5,19.1,0.0005,427.22,2.63,,,,NaN
1.2525,474,115.9,19.1,0.0000,439.90,2.64,,,,NaN
1.2725,502,122.9,19.1,0.0005,527.01,2.72,,,,NaN
1.3155,532,141.9,19.1,0.0015,445.94,2.65,,,,NaN
1.3355,554,151.2,19.1,0.0010,378.02,2.58,,,,NaN
1.3555,571,159.3,19.1,0.0010,344.21,2.54,,,,NaN
1.3785,587,167.2,19.1,0.0015,297.13,2.47,,,,NaN
1.4055,600,174.5,19.1,0.0020,260.21,2.42,,,,NaN
1.4435,612,182.5,19.1,0.0030,213.25,2.33,,,,NaN
1.4925,623,190.3,19.1,0.0045,164.88,2.22,,,,NaN
1.5590,633,198.1,19.1,0.0070,,,,,,
1.6500,642,206.0,19.1,0.0105,,,,,,
1.7765,650,214.0,19.1,0.0160,,,,,,
1.9490,658,222.1,19.1,0.0220,,,,,,
2.1490,666,228.9,19.1,0.0260,,,,,,
