Task,T1970
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,168.0,19.7
2,168.0,19.7
3,168.0,19.7
4,168.1,19.7
5,168.0,19.7
6,168.0,19.7
7,168.0,19.7
8,168.1,19.7
9,168.1,19.7
10,168.1,19.7
11,168.1,19.7
12,168.2,19.7
13,168.2,19.7
14,168.2,19.7
15,168.2,19.7
16,168.2,19.7
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-5.3,19.7
2,-5.2,19.7
3,-5.2,19.7
4,-5.2,19.7
5,-5.2,19.7
6,-5.2,19.7
7,-5.2,19.7
8,-5.2,19.7
9,-5.2,19.7
10,-5.2,19.7
11,-5.1,19.7
12,-5.2,19.7
13,-5.1,19.7
14,-5.1,19.7
15,-5.1,19.7
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-180.4,19.6
2,-180.4,19.6
3,-180.4,19.6
4,-180.5,19.6
5,-180.5,19.6
6,-180.5,19.6
7,-180.4,19.6
8,-180.4,19.6
9,-180.5,19.6
10,-180.5,19.6
11,-180.5,19.6
12,-180.5,19.6
13,-180.5,19.6
14,-180.5,19.6
15,-180.5,19.6
16,-180.5,19.6
