Task,T1993
Scope 1/1, Sample 1/2 (Junk1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,79.0,19.2,NaN,,,,,,
0.0200,25,-24.4,19.1,0.0010,,,,,,
0.0400,56,-53.3,19.1,0.0005,,,,,,
0.0795,59,-54.1,19.1,0.0140,,,,,,
0.1785,89,-38.3,19.1,0.0035,,,,,,
0.2290,119,-21.2,19.1,0.0015,,,,,,
0.2510,143,-12.7,19.1,0.0010,,,,,,
0.2875,163,-7.1,19.1,0.0020,,,,,,
0.3785,181,-0.9,19.1,0.0050,,,,,,
0.5785,211,11.7,19.1,0.0065,17.14,1.23,,,,NaN
0.7785,241,26.4,19.1,0.0065,53.60,1.73,,,,NaN
0.9785,272,45.2,19.1,0.0065,229.94,2.36,,,,NaN
1.1235,302,76.2,19.1,0.0050,437.85,2.64,,,,NaN
1.1565,332,102.2,19.1,0.0010,474.38,2.68,,,,NaN
1.1765,480,125.5,19.1,0.0000,462.30,2.66,,,,NaN
1.1965,510,134.7,19.1,0.0005,485.22,2.69,,,,NaN
1.2405,539,157.7,19.1,0.0015,538.59,2.73,,,,NaN
1.2605,555,166.0,19.1,0.0010,373.41,2.57,,,,NaN
1.2845,570,174.2,19.1,0.0015,319.50,2.50,,,,NaN
1.3135,584,181.6,19.1,0.0020,263.68,2.42,,,,NaN
1.3555,595,189.7,19.1,0.0040,211.58,2.33,,,,NaN
1.4100,606,197.6,19.1,0.0050,,,,,,
1.4830,616,205.4,19.1,0.0075,,,,,,
1.5845,624,213.4,19.1,0.0120,,,,,,
1.7245,632,221.3,19.1,0.0165,,,,,,
1.9190,641,229.5,19.1,0.0225,,,,,,
Scope 1/1, Sample 2/2 (CRM1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,84.3,19.3,NaN,,,,,,
0.0200,28,1.2,19.3,0.0005,,,,,,
0.0400,58,-36.2,19.3,0.0005,,,,,,
0.0600,76,-43.3,19.3,0.0010,,,,,,
0.1100,79,-43.7,19.3,0.0155,,,,,,
0.2350,110,-23.0,19.3,0.0040,,,,,,
0.2820,140,-10.2,19.2,0.0015,,,,,,
0.3175,165,-2.5,19.2,0.0015,,,,,,
0.4065,174,-0.2,19.2,0.0100,,,,,,
0.6065,204,11.7,19.2,0.0065,,,,,,
0.8065,234,25.9,19.2,0.0065,41.65,1.62,,,,NaN
1.0065,264,42.8,19.2,0.0065,165.01,2.22,,,,NaN
1.1870,294,70.8,19.2,0.0060,374.31,2.57,,,,NaN
1.2430,325,99.7,19.2,0.0020,463.33,2.67,,,,NaN
1.2630,355,119.2,19.2,0.0005,480.09,2.68,,,,NaN
1.2830,500,132.5,19.2,0.0000,465.70,2.67,,,,NaN
1.3030,526,141.6,19.2,0.0010,555.34,2.74,,,,NaN
1.3285,550,153.3,19.2,0.0010,449.38,2.65,,,,NaN
1.3485,569,161.4,19.2,0.0010,365.34,2.56,,,,NaN
1.3710,585,169.3,19.2,0.0015,312.62,2.50,,,,NaN
1.3970,598,176.3,19.2,0.0020,266.46,2.43,,,,NaN
1.4355,612,184.6,19.2,0.0030,215.68,2.33,,,,NaN
1.4830,623,192.2,19.2,0.0045,167.15,2.22,,,,NaN
1.5490,633,200.1,19.2,0.0065,125.68,2.10,,,,NaN
1.6395,642,208.0,19.2,0.0105,92.10,1.96,,,,NaN
1.7645,650,216.1,19.2,0.0155,65.42,1.82,,,,NaN
1.9325,658,224.0,19.2,0.0205,45.01,1.65,,,,NaN
2.1325,666,231.0,19.2,0.0255,31.72,1.50,,,,NaN
2.3325,674,236.4,19.2,0.0265,24.38,1.39,,,,NaN
2.5325,681,240.9,19.2,0.0270,19.88,1.30,,,,NaN
2.7325,689,244.6,19.1,0.0265,16.67,1.22,,,,NaN
2.9325,696,247.9,19.2,0.0305,,,,,,
3.1325,702,250.7,19.2,0.0310,,,,,,
3.3325,708,253.2,19.1,0.0310,,,,,,
3.5325,715,255.6,19.2,0.0280,,,,,,
3.5600,719,255.9,19.2,0.0060,,,,,,
