Task,T1992
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,168.4,19.8
2,168.4,19.8
3,168.4,19.8
4,168.4,19.8
5,168.4,19.8
6,168.4,19.8
7,168.5,19.8
8,168.5,19.8
9,168.5,19.8
10,168.5,19.8
11,168.5,19.8
12,168.6,19.8
13,168.6,19.8
14,168.6,19.8
15,168.6,19.8
16,168.7,19.8
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-4.4,19.8
2,-4.3,19.8
3,-4.4,19.8
4,-4.4,19.8
5,-4.3,19.8
6,-4.3,19.8
7,-4.3,19.8
8,-4.3,19.8
9,-4.3,19.8
10,-4.2,19.8
11,-4.2,19.8
12,-4.2,19.8
13,-4.2,19.8
14,-4.2,19.8
15,-4.2,19.8
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-178.4,19.7
2,-178.4,19.7
3,-178.4,19.7
4,-178.4,19.7
5,-178.4,19.7
6,-178.4,19.7
7,-178.4,19.7
8,-178.4,19.7
9,-178.5,19.7
10,-178.5,19.7
11,-178.4,19.7
12,-178.4,19.7
13,-178.4,19.7
14,-178.4,19.7
15,-178.4,19.7
16,-178.4,19.7
