Task,T2017
Scope 1/1, Sample 1/2 (Junk1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,53.7,19.1,NaN,,,,,,
0.0200,25,-34.4,19.1,0.0010,,,,,,
0.0400,55,-54.9,19.1,0.0005,,,,,,
0.0900,58,-55.4,19.1,0.0145,,,,,,
0.2150,89,-32.7,19.1,0.0040,,,,,,
0.2540,119,-17.1,19.1,0.0015,,,,,,
0.2740,142,-9.9,19.1,0.0010,,,,,,
0.3240,162,-4.3,19.1,0.0025,,,,,,
0.4490,174,0.0,19.1,0.0100,,,,,,
0.6490,205,13.7,19.0,0.0065,4.74,0.68,,,,NaN
0.8490,235,29.1,19.0,0.0065,99.55,2.00,,,,NaN
1.0490,265,52.9,19.0,0.0065,348.86,2.54,,,,NaN
1.1390,295,84.6,19.0,0.0030,501.60,2.70,,,,NaN
1.1590,326,109.4,19.0,0.0005,517.24,2.71,,,,NaN
1.1790,471,129.5,19.0,0.0000,496.72,2.70,,,,NaN
1.1990,498,139.3,19.0,0.0005,573.09,2.76,,,,NaN
1.2325,522,156.3,19.0,0.0015,528.14,2.72,,,,NaN
1.2525,540,164.7,19.0,0.0010,380.29,2.58,,,,NaN
1.2750,554,172.4,19.0,0.0015,324.58,2.51,,,,NaN
1.3040,567,179.9,19.0,0.0025,265.18,2.42,,,,NaN
1.3450,578,187.9,19.0,0.0040,210.59,2.32,,,,NaN
1.3980,588,195.8,18.9,0.0055,,,,,,
1.4690,597,203.6,18.9,0.0080,,,,,,
1.5670,605,211.5,18.9,0.0120,,,,,,
1.7050,613,219.6,18.9,0.0170,,,,,,
1.8905,621,227.5,18.9,0.0240,,,,,,
Scope 1/1, Sample 2/2 (CRM 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,84.5,19.2,NaN,,,,,,
0.0200,28,3.8,19.2,0.0005,,,,,,
0.0400,58,-35.0,19.2,0.0005,,,,,,
0.0600,78,-43.9,19.2,0.0010,,,,,,
0.1100,82,-44.5,19.2,0.0145,,,,,,
0.2350,112,-24.9,19.2,0.0040,,,,,,
0.2875,142,-12.2,19.2,0.0020,,,,,,
0.3300,168,-4.2,19.2,0.0015,,,,,,
0.4360,181,-0.5,19.2,0.0080,,,,,,
0.6360,190,3.4,19.2,0.0220,,,,,,
0.8360,220,18.8,19.2,0.0065,47.73,1.68,,,,NaN
1.0360,250,37.4,19.1,0.0065,209.96,2.32,,,,NaN
1.1835,281,63.9,19.1,0.0050,404.48,2.61,,,,NaN
1.2295,311,90.4,19.1,0.0015,472.22,2.67,,,,NaN
1.2495,341,110.5,19.1,0.0005,481.38,2.68,,,,NaN
1.2695,485,126.5,19.1,0.0000,485.60,2.69,,,,NaN
1.2895,510,134.7,19.1,0.0010,600.65,2.78,,,,NaN
1.3270,538,152.3,19.0,0.0015,437.41,2.64,,,,NaN
1.3470,555,160.5,19.0,0.0010,356.34,2.55,,,,NaN
1.3690,569,168.0,19.0,0.0015,311.64,2.49,,,,NaN
1.3970,582,175.9,19.0,0.0020,262.72,2.42,,,,NaN
1.4315,594,183.2,19.0,0.0030,221.36,2.35,,,,NaN
1.4815,605,191.4,19.0,0.0045,167.74,2.22,,,,NaN
1.5450,614,199.0,19.0,0.0070,127.07,2.10,,,,NaN
1.6355,622,207.0,19.0,0.0110,92.91,1.97,,,,NaN
1.7590,631,215.1,19.0,0.0135,65.89,1.82,,,,NaN
1.9205,639,222.8,19.0,0.0190,45.89,1.66,,,,NaN
2.1205,647,229.8,19.0,0.0255,32.15,1.51,,,,NaN
2.3205,654,235.3,19.0,0.0290,24.63,1.39,,,,NaN
2.5205,661,239.8,19.0,0.0295,20.16,1.30,,,,NaN
2.7205,668,243.6,19.0,0.0300,16.97,1.23,,,,NaN
2.9205,675,246.9,19.0,0.0300,,,,,,
3.1205,681,249.8,19.0,0.0310,,,,,,
3.3205,688,252.3,19.0,0.0310,,,,,,
3.5205,693,254.6,19.0,0.0375,,,,,,
3.5600,697,255.0,19.0,0.0090,,,,,,
