Task,T2016
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,169.3,20.1
2,169.3,20.1
3,169.4,20.1
4,169.3,20.1
5,169.4,20.1
6,169.4,20.1
7,169.4,20.1
8,169.4,20.1
9,169.5,20.1
10,169.5,20.1
11,169.5,20.1
12,169.5,20.1
13,169.5,20.1
14,169.5,20.1
15,169.5,20.1
16,169.5,20.1
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-3.7,20.1
2,-3.6,20.1
3,-3.6,20.1
4,-3.6,20.1
5,-3.6,20.1
6,-3.7,20.1
7,-3.7,20.1
8,-3.7,20.1
9,-3.6,20.1
10,-3.7,20.1
11,-3.6,20.1
12,-3.6,20.1
13,-3.6,20.1
14,-3.6,20.1
15,-3.6,20.1
16,-3.6,20.1
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-178.5,19.9
2,-178.5,19.9
3,-178.5,19.9
4,-178.5,19.9
5,-178.5,19.9
6,-178.5,19.9
7,-178.6,19.9
8,-178.5,19.9
9,-178.5,19.9
10,-178.5,19.9
11,-178.5,19.9
12,-178.5,19.9
13,-178.6,19.9
14,-178.5,19.9
15,-178.5,19.9
16,-178.5,19.8
