Task,T2036
Scope 1/1, Sample 1/9 (Junk2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,73.4,20.8,NaN,,,,,,
0.0200,28,-19.1,20.8,0.0005,,,,,,
0.0400,58,-51.5,20.8,0.0005,,,,,,
0.0680,61,-52.8,20.8,0.0090,,,,,,
0.1380,65,-53.0,20.8,0.0190,,,,,,
0.3130,95,-24.4,20.8,0.0060,,,,,,
0.3610,125,-9.6,20.8,0.0015,,,,,,
0.3880,147,-1.8,20.8,0.0010,,,,,,
0.4475,153,-0.2,20.8,0.0095,,,,,,
0.5965,184,11.3,20.8,0.0050,43.23,1.64,,,,NaN
0.7965,214,26.1,20.8,0.0065,40.50,1.61,,,,NaN
0.9965,244,45.7,20.8,0.0065,239.31,2.38,,,,NaN
1.1300,274,76.2,20.8,0.0045,455.84,2.66,,,,NaN
1.1600,304,102.3,20.8,0.0010,489.63,2.69,,,,NaN
1.1800,447,124.6,20.7,0.0000,477.26,2.68,,,,NaN
1.2000,477,134.2,20.7,0.0005,498.62,2.70,,,,NaN
1.2385,504,153.9,20.7,0.0015,551.82,2.74,,,,NaN
1.2585,521,162.7,20.7,0.0010,380.70,2.58,,,,NaN
1.2795,536,170.1,20.7,0.0015,332.29,2.52,,,,NaN
1.3080,550,177.9,20.7,0.0020,272.78,2.44,,,,NaN
1.3465,561,185.9,20.7,0.0035,221.37,2.35,,,,NaN
1.3965,571,193.7,20.7,0.0050,164.50,2.22,,,,NaN
1.4655,580,201.7,20.7,0.0075,,,,,,
1.5575,589,209.5,20.7,0.0105,,,,,,
1.6870,597,217.6,20.7,0.0160,,,,,,
1.8615,605,225.5,20.7,0.0215,,,,,,
2.0615,612,232.2,20.7,0.0275,,,,,,
Scope 1/1, Sample 2/9 (1_M_Sq3_20220630)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,94.6,16.4,NaN,,,,,,
0.0200,28,39.5,16.3,0.0005,,,,,,
0.0400,58,6.8,16.4,0.0005,,,,,,
0.0600,88,-8.8,16.5,0.0005,,,,,,
0.1030,91,-9.9,16.5,0.0130,,,,,,
0.2105,108,-5.6,16.5,0.0065,,,,,,
0.4105,121,-0.3,16.6,0.0155,,,,,,
0.6105,128,3.2,16.6,0.0285,,,,,,
0.8105,158,18.6,16.7,0.0065,85.14,1.93,,,,NaN
1.0105,188,37.2,16.8,0.0065,230.14,2.36,,,,NaN
1.1585,219,66.8,16.8,0.0050,415.41,2.62,,,,NaN
1.1955,249,92.1,16.9,0.0010,488.26,2.69,,,,NaN
1.2155,279,110.9,16.9,0.0005,506.59,2.70,,,,NaN
1.2355,417,125.1,17.1,0.0000,503.27,2.70,,,,NaN
1.2555,445,134.3,17.2,0.0005,610.79,2.79,,,,NaN
1.2820,471,147.2,17.2,0.0010,457.78,2.66,,,,NaN
1.3020,490,156.0,17.3,0.0010,385.06,2.59,,,,NaN
1.3220,506,163.4,17.3,0.0010,337.13,2.53,,,,NaN
1.3480,521,171.5,17.3,0.0015,285.53,2.46,,,,NaN
1.3785,534,178.8,17.3,0.0025,241.86,2.38,,,,NaN
1.4220,545,186.7,17.3,0.0040,188.55,2.28,,,,NaN
1.4790,556,194.6,17.4,0.0050,143.13,2.16,,,,NaN
1.5560,565,202.3,17.4,0.0080,106.61,2.03,,,,NaN
1.6665,574,210.4,17.4,0.0120,76.01,1.88,,,,NaN
1.8150,583,218.3,17.4,0.0170,52.92,1.72,,,,NaN
2.0150,591,226.1,17.4,0.0255,35.85,1.55,,,,NaN
2.2150,599,232.1,17.5,0.0250,26.68,1.43,,,,NaN
2.4150,607,236.9,17.5,0.0255,21.36,1.33,,,,NaN
2.6150,614,240.9,17.5,0.0280,17.91,1.25,,,,NaN
2.8150,621,244.3,17.5,0.0300,,,,,,
3.0150,627,247.2,17.5,0.0350,,,,,,
3.2150,633,250.0,17.6,0.0325,,,,,,
3.4150,640,252.4,17.6,0.0290,,,,,,
3.5600,646,253.9,17.6,0.0240,,,,,,
Scope 1/1, Sample 3/9 (2_M_Sq3_20220630)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,96.1,17.1,NaN,,,,,,
0.0200,28,40.7,17.1,0.0005,,,,,,
0.0400,58,6.4,17.1,0.0005,,,,,,
0.0600,88,-9.6,17.2,0.0005,,,,,,
0.1025,91,-10.6,17.2,0.0140,,,,,,
0.2085,108,-5.7,17.2,0.0065,,,,,,
0.4085,123,0.3,17.2,0.0135,,,,,,
0.6085,153,13.3,17.3,0.0065,44.40,1.65,,,,NaN
0.8085,183,26.9,17.3,0.0065,88.34,1.95,,,,NaN
1.0085,213,44.6,17.4,0.0065,205.03,2.31,,,,NaN
1.1715,244,74.1,17.4,0.0055,368.28,2.57,,,,NaN
1.2145,274,100.2,17.5,0.0015,422.99,2.63,,,,NaN
1.2345,415,121.0,17.7,0.0000,415.81,2.62,,,,NaN
1.2545,441,129.2,17.7,0.0010,429.49,2.63,,,,NaN
1.3045,471,152.3,17.7,0.0015,482.52,2.68,,,,NaN
1.3245,488,160.3,17.8,0.0010,352.56,2.55,,,,NaN
1.3475,502,167.8,17.8,0.0015,302.19,2.48,,,,NaN
1.3775,516,175.8,17.8,0.0020,252.07,2.40,,,,NaN
1.4145,528,183.2,17.8,0.0030,212.50,2.33,,,,NaN
1.4670,539,191.4,17.8,0.0045,158.69,2.20,,,,NaN
1.5330,549,198.8,17.8,0.0065,,,,,,
1.6325,559,207.1,17.8,0.0105,,,,,,
1.7615,567,214.9,17.9,0.0165,,,,,,
1.9430,575,222.9,17.9,0.0235,,,,,,
2.1430,582,229.5,17.9,0.0265,,,,,,
Scope 1/1, Sample 4/9 (1_H_Sq3_20220708)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,91.7,17.8,NaN,,,,,,
0.0200,28,31.8,17.7,0.0005,,,,,,
0.0400,58,-3.2,17.8,0.0005,,,,,,
0.0600,88,-19.6,17.8,0.0005,,,,,,
0.1020,91,-20.3,17.8,0.0140,,,,,,
0.2070,100,-17.7,17.8,0.0115,,,,,,
0.4070,130,-1.8,17.9,0.0065,,,,,,
0.6070,137,3.4,17.9,0.0280,,,,,,
0.8070,152,11.0,17.9,0.0130,,,,,,
1.0070,183,36.2,18.0,0.0065,,,,,,
1.0880,213,56.0,18.0,0.0025,325.80,2.51,,,,NaN
1.1215,243,73.4,18.0,0.0010,360.43,2.56,,,,NaN
1.1415,273,86.5,18.1,0.0005,381.46,2.58,,,,NaN
1.1615,300,95.7,18.1,0.0005,429.35,2.63,,,,NaN
1.2115,330,111.2,18.1,0.0015,454.41,2.66,,,,NaN
1.2500,482,129.3,18.3,0.0005,411.49,2.61,,,,NaN
1.2700,509,139.7,18.3,0.0005,433.28,2.64,,,,NaN
1.2900,533,149.2,18.3,0.0010,432.78,2.64,,,,NaN
1.3100,552,157.9,18.4,0.0010,382.12,2.58,,,,NaN
1.3300,568,165.0,18.4,0.0015,323.99,2.51,,,,NaN
1.3575,582,173.1,18.4,0.0020,279.27,2.45,,,,NaN
1.3905,594,180.6,18.4,0.0030,229.31,2.36,,,,NaN
1.4365,604,188.4,18.4,0.0045,177.82,2.25,,,,NaN
1.4985,614,196.4,18.4,0.0060,,,,,,
1.5820,623,204.2,18.4,0.0095,,,,,,
1.6990,631,212.2,18.4,0.0150,,,,,,
1.8570,638,220.1,18.4,0.0210,,,,,,
2.0570,646,227.5,18.5,0.0245,,,,,,
Scope 1/1, Sample 5/9 (2_H_Sq3_20220708)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,90.8,18.2,NaN,,,,,,
0.0200,28,30.9,18.2,0.0005,,,,,,
0.0400,58,-3.9,18.2,0.0005,,,,,,
0.0600,88,-20.1,18.3,0.0005,,,,,,
0.1025,91,-20.4,18.3,0.0140,,,,,,
0.2085,121,-10.8,18.3,0.0035,,,,,,
0.3630,142,-2.1,18.3,0.0075,,,,,,
0.5630,151,3.3,18.4,0.0215,,,,,,
0.7630,182,19.8,18.4,0.0065,70.31,1.85,,,,NaN
0.9510,212,36.3,18.4,0.0065,163.32,2.21,,,,NaN
1.1225,242,60.0,18.5,0.0055,322.61,2.51,,,,NaN
1.1960,272,87.8,18.5,0.0025,424.88,2.63,,,,NaN
1.2160,302,106.0,18.5,0.0005,448.87,2.65,,,,NaN
1.2360,447,120.6,18.7,0.0000,452.13,2.66,,,,NaN
1.2560,476,128.4,18.7,0.0005,527.95,2.72,,,,NaN
1.2940,506,146.8,18.7,0.0015,476.85,2.68,,,,NaN
1.3140,525,155.5,18.7,0.0010,372.83,2.57,,,,NaN
1.3345,542,163.4,18.7,0.0010,329.64,2.52,,,,NaN
1.3580,557,170.7,18.8,0.0015,285.17,2.46,,,,NaN
1.3895,569,178.2,18.8,0.0025,243.91,2.39,,,,NaN
1.4335,580,186.4,18.8,0.0040,189.45,2.28,,,,NaN
1.4885,590,194.0,18.8,0.0055,144.91,2.16,,,,NaN
1.5645,599,201.8,18.8,0.0080,,,,,,
1.6725,608,209.9,18.8,0.0115,,,,,,
1.8160,617,217.7,18.8,0.0165,,,,,,
2.0160,624,225.7,18.8,0.0285,,,,,,
2.2160,631,231.8,18.8,0.0270,,,,,,
Scope 1/1, Sample 6/9 (1_M_Sq2_20220710)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,85.8,18.8,NaN,,,,,,
0.0200,28,9.8,18.8,0.0005,,,,,,
0.0400,58,-29.8,18.8,0.0005,,,,,,
0.0600,88,-42.6,18.8,0.0005,,,,,,
0.1100,91,-43.1,18.8,0.0160,,,,,,
0.2350,121,-24.7,18.9,0.0040,,,,,,
0.2945,152,-12.3,18.9,0.0020,,,,,,
0.3485,180,-3.6,18.9,0.0020,,,,,,
0.4770,186,0.0,18.9,0.0220,,,,,,
0.6770,216,14.0,19.0,0.0065,,,,,,
0.8770,246,28.8,19.0,0.0065,92.11,1.96,,,,NaN
1.0770,276,51.6,19.0,0.0065,282.85,2.45,,,,NaN
1.1760,307,78.3,19.1,0.0030,429.08,2.63,,,,NaN
1.2010,337,99.4,19.1,0.0010,477.57,2.68,,,,NaN
1.2210,367,114.5,19.1,0.0005,489.48,2.69,,,,NaN
1.2410,510,125.6,19.2,0.0000,508.17,2.71,,,,NaN
1.2610,536,134.8,19.2,0.0010,569.49,2.76,,,,NaN
1.2825,561,145.2,19.2,0.0010,439.17,2.64,,,,NaN
1.3025,580,154.0,19.2,0.0010,392.48,2.59,,,,NaN
1.3225,597,162.0,19.3,0.0010,342.81,2.54,,,,NaN
1.3450,612,169.1,19.3,0.0015,298.61,2.48,,,,NaN
1.3760,626,177.2,19.3,0.0020,250.71,2.40,,,,NaN
1.4135,637,184.4,19.3,0.0035,202.01,2.31,,,,NaN
1.4700,647,192.8,19.3,0.0055,152.30,2.18,,,,NaN
1.5405,656,200.4,19.3,0.0080,,,,,,
1.6415,664,208.4,19.3,0.0125,,,,,,
1.7785,672,216.5,19.3,0.0170,,,,,,
1.9625,680,224.3,19.3,0.0235,,,,,,
2.1625,687,230.7,19.3,0.0270,,,,,,
Scope 1/1, Sample 7/9 (2_M_Sq2_20220710)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,85.1,19.2,NaN,,,,,,
0.0200,28,9.1,19.2,0.0005,,,,,,
0.0400,58,-29.8,19.2,0.0005,,,,,,
0.0600,88,-42.3,19.2,0.0005,,,,,,
0.1100,91,-42.8,19.2,0.0160,,,,,,
0.2350,121,-23.9,19.2,0.0040,,,,,,
0.2910,152,-11.8,19.3,0.0020,,,,,,
0.3430,175,-4.8,19.3,0.0025,,,,,,
0.4730,185,-0.6,19.3,0.0125,,,,,,
0.6730,192,3.4,19.3,0.0270,,,,,,
0.8730,223,20.2,19.3,0.0065,97.20,1.99,,,,NaN
1.0540,253,42.0,19.4,0.0060,299.18,2.48,,,,NaN
