"Task","T2043"
"Scope 1/1, Sample 1/2 (Junk1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","43.9","18.9","NaN","","","","","",""
"0.0200","25","-33.4","18.9","0.0010","","","","","",""
"0.0400","56","-55.4","18.9","0.0005","","","","","",""
"0.0900","59","-56.1","18.9","0.0170","","","","","",""
"0.2150","89","-36.2","18.9","0.0040","","","","","",""
"0.2650","119","-20.4","18.9","0.0015","","","","","",""
"0.2905","143","-12.9","18.9","0.0010","","","","","",""
"0.3485","165","-6.7","18.9","0.0025","","","","","",""
"0.4935","180","-0.4","18.9","0.0095","","","","","",""
"0.6935","210","11.7","18.9","0.0065","-4.80","0.68","","","","NaN"
"0.8935","240","26.7","18.9","0.0065","127.35","2.10","","","","NaN"
"1.0935","270","54.1","18.9","0.0065","441.98","2.65","","","","NaN"
"1.1615","301","91.6","18.8","0.0020","566.82","2.75","","","","NaN"
"1.1815","331","120.8","18.8","0.0005","552.68","2.74","","","","NaN"
"1.2015","475","139.6","18.8","0.0000","502.19","2.70","","","","NaN"
"1.2215","499","150.2","18.8","0.0010","639.51","2.81","","","","NaN"
"1.2480","519","162.2","18.8","0.0015","460.79","2.66","","","","NaN"
"1.2685","534","169.5","18.8","0.0015","386.18","2.59","","","","NaN"
"1.2975","548","177.4","18.8","0.0020","292.93","2.47","","","","NaN"
"1.3360","560","185.3","18.8","0.0035","219.86","2.34","","","","NaN"
"1.3870","571","193.3","18.8","0.0050","165.50","2.22","","","","NaN"
"1.4545","580","201.0","18.8","0.0075","121.73","2.09","","","","NaN"
"1.5505","589","209.1","18.8","0.0105","88.17","1.95","","","","NaN"
"1.6800","597","217.0","18.8","0.0160","62.12","1.79","","","","NaN"
"1.8590","605","225.0","18.8","0.0225","42.13","1.62","","","","NaN"
"2.0590","613","231.7","18.8","0.0255","30.13","1.48","","","","NaN"
"2.2590","620","236.9","18.8","0.0265","23.49","1.37","","","","NaN"
"2.4590","628","241.2","18.8","0.0265","19.41","1.29","","","","NaN"
"2.6590","634","244.9","18.8","0.0310","16.45","1.22","","","","NaN"
"2.8590","641","248.1","18.8","0.0280","","","","","",""
"3.0590","648","250.9","18.8","0.0285","","","","","",""
"3.2590","654","253.3","18.8","0.0330","","","","","",""
"3.4590","660","255.6","18.8","0.0330","","","","","",""
"3.5600","666","256.7","18.8","0.0170","","","","","",""
"Scope 1/1, Sample 2/2 (CRM1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","87.5","19.0","NaN","","","","","",""
"0.0200","28","11.8","19.1","0.0005","","","","","",""
"0.0400","58","-29.5","19.1","0.0005","","","","","",""
"0.0600","88","-44.2","19.1","0.0005","","","","","",""
"0.1100","91","-44.9","19.1","0.0160","","","","","",""
"0.2350","121","-27.0","19.0","0.0040","","","","","",""
"0.2975","152","-14.6","19.0","0.0020","","","","","",""
"0.3555","177","-6.8","19.0","0.0025","","","","","",""
"0.5005","195","-0.6","19.0","0.0080","","","","","",""
"0.7005","205","3.5","19.0","0.0200","","","","","",""
"0.9005","235","18.1","19.0","0.0065","73.41","1.87","","","","NaN"
"1.1005","266","38.3","19.0","0.0065","292.03","2.47","","","","NaN"
"1.2260","296","70.0","19.0","0.0040","504.09","2.70","","","","NaN"
"1.2515","326","98.4","19.0","0.0010","543.88","2.74","","","","NaN"
"1.2715","356","119.7","19.0","0.0005","533.67","2.73","","","","NaN"
"1.2915","500","134.6","19.0","0.0000","543.61","2.74","","","","NaN"
"1.3115","522","143.9","19.0","0.0010","635.51","2.80","","","","NaN"
"1.3390","544","156.3","19.0","0.0015","409.62","2.61","","","","NaN"
"1.3590","560","163.9","19.0","0.0010","357.13","2.55","","","","NaN"
"1.3840","575","171.6","19.0","0.0015","296.05","2.47","","","","NaN"
"1.4165","588","179.2","19.0","0.0025","240.03","2.38","","","","NaN"
"1.4610","600","187.4","19.0","0.0035","188.74","2.28","","","","NaN"
"1.5160","610","194.7","19.0","0.0055","143.04","2.16","","","","NaN"
"1.5985","620","203.1","19.0","0.0080","104.87","2.02","","","","NaN"
"1.7040","629","210.8","19.0","0.0115","76.20","1.88","","","","NaN"
"1.8520","637","218.8","19.0","0.0175","53.07","1.72","","","","NaN"
"2.0520","645","226.5","19.0","0.0255","35.79","1.55","","","","NaN"
"2.2520","652","232.5","19.0","0.0290","26.63","1.43","","","","NaN"
"2.4520","659","237.3","19.0","0.0280","21.47","1.33","","","","NaN"
"2.6520","666","241.3","19.0","0.0310","17.84","1.25","","","","NaN"
"2.8520","672","244.7","19.0","0.0345","","","","","",""
"3.0520","678","247.8","19.0","0.0310","","","","","",""
"3.2520","685","250.4","19.0","0.0295","","","","","",""
"3.4520","692","252.8","19.0","0.0310","","","","","",""
"3.5600","697","254.1","19.0","0.0200","","","","","",""
