"Task","T2042"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","168.1","20.1"
"2","168.1","20.1"
"3","168.1","20.1"
"4","168.1","20.1"
"5","168.1","20.1"
"6","168.1","20.1"
"7","168.1","20.1"
"8","168.1","20.1"
"9","168.2","20.1"
"10","168.2","20.1"
"11","168.2","20.1"
"12","168.2","20.1"
"13","168.2","20.1"
"14","168.2","20.1"
"15","168.2","20.1"
"16","168.2","20.1"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-5.1","19.9"
"2","-5.1","19.9"
"3","-5.1","19.9"
"4","-5.2","19.9"
"5","-5.1","19.9"
"6","-5.1","19.9"
"7","-5.2","19.9"
"8","-5.1","19.9"
"9","-5.1","19.9"
"10","-5.1","19.9"
"11","-5.1","19.9"
"12","-5.1","19.9"
"13","-5.1","19.9"
"14","-5.1","19.9"
"15","-5.2","19.9"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-180.0","19.8"
"2","-180.0","19.8"
"3","-180.0","19.7"
"4","-180.0","19.7"
"5","-180.0","19.7"
"6","-180.0","19.7"
"7","-180.1","19.7"
"8","-180.1","19.7"
"9","-180.1","19.7"
"10","-180.1","19.7"
"11","-180.1","19.7"
"12","-180.1","19.7"
"13","-180.1","19.7"
"14","-180.1","19.7"
"15","-180.1","19.7"
