"Task","T2064"
"Scope 1/1, Sample 1/9 (Junk2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","84.2","19.2","NaN","","","","","",""
"0.0200","28","1.5","19.2","0.0005","","","","","",""
"0.0400","58","-37.7","19.2","0.0005","","","","","",""
"0.0600","79","-46.4","19.2","0.0010","","","","","",""
"0.1100","82","-46.9","19.2","0.0155","","","","","",""
"0.2350","112","-27.2","19.2","0.0040","","","","","",""
"0.2865","143","-14.5","19.2","0.0015","","","","","",""
"0.3275","170","-6.7","19.2","0.0015","","","","","",""
"0.4300","187","-1.3","19.2","0.0060","","","","","",""
"0.6300","195","3.5","19.2","0.0250","7.16","0.86","","","","NaN"
"0.8300","225","18.7","19.2","0.0065","62.34","1.79","","","","NaN"
"1.0300","255","39.0","19.2","0.0065","318.02","2.50","","","","NaN"
"1.1540","286","75.0","19.2","0.0040","541.48","2.73","","","","NaN"
"1.1740","316","105.7","19.2","0.0005","533.35","2.73","","","","NaN"
"1.1940","459","132.5","19.2","0.0000","494.33","2.69","","","","NaN"
"1.2140","486","143.2","19.2","0.0005","568.23","2.75","","","","NaN"
"1.2515","510","160.9","19.2","0.0015","538.97","2.73","","","","NaN"
"1.2715","524","168.2","19.2","0.0015","388.59","2.59","","","","NaN"
"1.3000","538","176.3","19.2","0.0020","306.12","2.49","","","","NaN"
"1.3355","549","183.9","19.2","0.0030","231.85","2.37","","","","NaN"
"1.3865","560","192.3","19.2","0.0045","175.35","2.24","","","","NaN"
"1.4480","570","199.7","19.2","0.0060","","","","","",""
"1.5410","579","207.9","19.1","0.0100","","","","","",""
"1.6620","587","215.7","19.2","0.0145","","","","","",""
"1.8330","595","223.7","19.2","0.0205","","","","","",""
"2.0330","602","230.7","19.1","0.0265","","","","","",""
"Scope 1/1, Sample 2/9 (1_C_Sq2_20220630)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","92.4","16.1","NaN","","","","","",""
"0.0200","28","27.4","16.0","0.0005","","","","","",""
"0.0400","58","-12.7","16.1","0.0005","","","","","",""
"0.0600","88","-30.4","16.1","0.0005","","","","","",""
"0.1010","91","-31.5","16.1","0.0125","","","","","",""
"0.2035","122","-21.0","16.2","0.0035","","","","","",""
"0.3255","152","-10.3","16.2","0.0040","","","","","",""
"0.5255","179","-0.9","16.3","0.0075","","","","","",""
"0.7255","188","3.3","16.3","0.0215","27.13","1.43","","","","NaN"
"0.9255","218","18.3","16.3","0.0065","139.42","2.14","","","","NaN"
"1.1255","248","43.0","16.4","0.0065","386.12","2.59","","","","NaN"
"1.2090","279","76.5","16.4","0.0025","523.90","2.72","","","","NaN"
"1.2290","309","104.6","16.5","0.0005","511.27","2.71","","","","NaN"
"1.2490","456","130.2","16.7","0.0000","487.03","2.69","","","","NaN"
"1.2690","483","139.7","16.7","0.0005","619.62","2.79","","","","NaN"
"1.3140","508","159.8","16.7","0.0020","469.05","2.67","","","","NaN"
"1.3340","523","166.6","16.8","0.0015","356.40","2.55","","","","NaN"
"1.3645","537","175.0","16.8","0.0020","284.64","2.45","","","","NaN"
"1.4005","549","182.4","16.8","0.0030","221.05","2.34","","","","NaN"
"1.4530","560","190.7","16.8","0.0050","169.59","2.23","","","","NaN"
"1.5185","570","198.3","16.8","0.0065","122.78","2.09","","","","NaN"
"1.6125","579","206.3","16.8","0.0100","89.49","1.95","","","","NaN"
"1.7400","588","214.2","16.8","0.0145","63.08","1.80","","","","NaN"
"1.9190","596","222.3","16.9","0.0230","42.60","1.63","","","","NaN"
"2.1190","604","229.0","16.9","0.0260","30.39","1.48","","","","NaN"
"2.3190","611","234.2","16.9","0.0290","23.61","1.37","","","","NaN"
"2.5190","618","238.6","16.9","0.0280","19.50","1.29","","","","NaN"
"2.7190","625","242.3","16.9","0.0280","16.47","1.22","","","","NaN"
"2.9190","632","245.5","16.9","0.0280","","","","","",""
"3.1190","639","248.3","17.0","0.0280","","","","","",""
"3.3190","645","250.8","17.0","0.0325","","","","","",""
"3.5190","652","253.1","17.0","0.0305","","","","","",""
"3.5600","656","253.6","17.0","0.0105","","","","","",""
"Scope 1/1, Sample 3/9 (2_C_Sq2_20220630)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","93.0","16.8","NaN","","","","","",""
"0.0200","28","27.8","16.7","0.0005","","","","","",""
"0.0400","58","-13.1","16.8","0.0005","","","","","",""
"0.0600","88","-30.5","16.8","0.0005","","","","","",""
"0.1035","91","-31.5","16.8","0.0135","","","","","",""
"0.2125","121","-19.9","16.8","0.0035","","","","","",""
"0.3250","138","-12.6","16.9","0.0065","","","","","",""
"0.5250","167","-0.5","16.9","0.0070","","","","","",""
"0.7250","173","3.3","16.9","0.0310","33.76","1.53","","","","NaN"
"0.9250","204","19.1","17.0","0.0065","145.12","2.16","","","","NaN"
"1.1250","234","45.3","17.0","0.0065","390.53","2.59","","","","NaN"
"1.2000","264","76.7","17.0","0.0025","514.13","2.71","","","","NaN"
"1.2200","294","103.0","17.1","0.0005","505.96","2.70","","","","NaN"
"1.2400","440","127.0","17.2","0.0000","488.20","2.69","","","","NaN"
"1.2600","469","136.2","17.2","0.0005","622.02","2.79","","","","NaN"
"1.3050","496","157.0","17.2","0.0015","473.21","2.68","","","","NaN"
"1.3250","511","164.2","17.2","0.0015","353.39","2.55","","","","NaN"
"1.3540","524","172.8","17.3","0.0020","290.78","2.46","","","","NaN"
"1.3865","536","180.1","17.3","0.0025","234.07","2.37","","","","NaN"
"1.4340","548","188.3","17.3","0.0040","184.54","2.27","","","","NaN"
"1.4945","558","196.0","17.3","0.0060","134.50","2.13","","","","NaN"
"1.5785","567","203.9","17.3","0.0090","99.18","2.00","","","","NaN"
"1.6955","576","211.9","17.3","0.0130","70.35","1.85","","","","NaN"
"1.8535","584","219.8","17.3","0.0195","48.63","1.69","","","","NaN"
"2.0535","592","227.1","17.3","0.0255","33.52","1.53","","","","NaN"
"2.2535","600","232.8","17.3","0.0265","25.44","1.41","","","","NaN"
"2.4535","607","237.4","17.4","0.0290","20.64","1.31","","","","NaN"
"2.6535","614","241.3","17.4","0.0280","17.33","1.24","","","","NaN"
"2.8535","621","244.6","17.4","0.0280","","","","","",""
"3.0535","628","247.6","17.4","0.0285","","","","","",""
"3.2535","634","250.1","17.4","0.0335","","","","","",""
"3.4535","640","252.5","17.4","0.0315","","","","","",""
"3.5600","646","253.7","17.4","0.0170","","","","","",""
"Scope 1/1, Sample 4/9 (1_M_Sq1_20220702)"
"Result","TitrationEQP1"
