Task,T1495
Scope 1/1, Sample 1/2 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,45.7,21.8,NaN,,,,,,
0.0200,26,-36.6,21.7,0.0010,,,,,,
0.0400,44,-45.4,21.7,0.0010,,,,,,
0.0900,47,-45.7,21.7,0.0145,,,,,,
0.2150,78,-16.7,21.7,0.0040,,,,,,
0.2390,108,-1.7,21.7,0.0010,,,,,,
0.2590,115,0.0,21.7,0.0030,,,,,,
0.3090,123,3.3,21.7,0.0060,,,,,,
0.4340,154,18.3,21.7,0.0040,,,,,,
0.5235,184,31.8,21.7,0.0030,101.87,2.01,,,,NaN
0.6085,214,44.4,21.7,0.0030,116.17,2.07,,,,NaN
0.7175,244,58.3,21.7,0.0035,157.78,2.20,,,,NaN
0.8630,275,80.6,21.7,0.0050,293.33,2.47,,,,NaN
0.9495,305,110.6,21.6,0.0030,427.57,2.63,,,,NaN
0.9695,447,125.4,21.6,0.0000,442.26,2.65,,,,NaN
0.9895,471,135.0,21.6,0.0010,445.46,2.65,,,,NaN
1.0155,493,149.0,21.6,0.0010,480.00,2.68,,,,NaN
1.0355,510,159.6,21.6,0.0010,481.18,2.68,,,,NaN
1.0555,525,168.9,21.6,0.0015,388.06,2.59,,,,NaN
1.0755,538,176.3,21.5,0.0015,335.88,2.53,,,,NaN
1.1030,549,184.2,21.5,0.0025,286.64,2.46,,,,NaN
1.1390,559,192.0,21.5,0.0035,228.87,2.36,,,,NaN
1.1875,569,200.1,21.5,0.0050,,,,,,
1.2500,577,207.6,21.5,0.0080,,,,,,
1.3410,586,215.9,21.5,0.0105,,,,,,
1.4600,593,223.7,21.5,0.0170,,,,,,
1.6265,601,231.7,21.5,0.0220,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,43.1,21.2,NaN,,,,,,
0.0200,28,-36.6,21.2,0.0005,,,,,,
0.0400,45,-44.6,21.2,0.0010,,,,,,
0.0900,48,-45.0,21.2,0.0150,,,,,,
0.2150,78,-17.5,21.2,0.0040,,,,,,
0.2415,109,-3.0,21.2,0.0010,,,,,,
0.2615,118,-0.5,21.2,0.0020,,,,,,
0.3115,121,0.2,21.2,0.0155,,,,,,
0.4365,151,14.2,21.2,0.0040,,,,,,
0.5395,182,26.0,21.2,0.0035,75.61,1.88,,,,NaN
0.6745,212,38.0,21.2,0.0045,73.94,1.87,,,,NaN
0.8745,242,54.5,21.2,0.0065,110.70,2.04,,,,NaN
1.0745,272,78.7,21.2,0.0065,206.58,2.32,,,,NaN
1.1640,302,101.6,21.2,0.0030,281.44,2.45,,,,NaN
1.1840,438,111.6,21.2,0.0000,302.17,2.48,,,,NaN
1.2040,461,116.4,21.1,0.0010,321.71,2.51,,,,NaN
1.2540,488,131.6,21.1,0.0020,371.47,2.57,,,,NaN
1.2745,508,139.8,21.1,0.0010,378.88,2.58,,,,NaN
1.2945,526,148.8,21.1,0.0010,407.51,2.61,,,,NaN
1.3145,543,157.8,21.1,0.0010,409.45,2.61,,,,NaN
1.3345,556,166.3,21.1,0.0015,365.17,2.56,,,,NaN
1.3545,568,173.4,21.1,0.0015,318.02,2.50,,,,NaN
1.3815,579,181.4,21.1,0.0025,275.14,2.44,,,,NaN
1.4145,589,189.0,21.1,0.0030,229.37,2.36,,,,NaN
1.4590,599,196.8,21.1,0.0045,,,,,,
1.5180,608,204.6,21.1,0.0070,,,,,,
1.6010,616,212.6,21.1,0.0105,,,,,,
1.7125,624,220.6,21.1,0.0135,,,,,,
1.8630,632,228.5,21.1,0.0180,,,,,,
