Task,T1494
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,177.6,21.7
2,177.6,21.7
3,177.7,21.7
4,177.6,21.7
5,177.7,21.7
6,177.6,21.7
7,177.6,21.7
8,177.7,21.7
9,177.6,21.7
10,177.6,21.7
11,177.6,21.7
12,177.6,21.7
13,177.6,21.7
14,177.6,21.7
15,177.6,21.7
16,177.6,21.7
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.7,21.6
2,3.7,21.6
3,3.7,21.6
4,3.7,21.6
5,3.7,21.6
6,3.7,21.6
7,3.7,21.6
8,3.7,21.6
9,3.6,21.6
10,3.7,21.6
11,3.7,21.6
12,3.7,21.6
13,3.7,21.6
14,3.7,21.6
15,3.7,21.6
16,3.7,21.6
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-170.5,21.6
2,-170.5,21.6
3,-170.5,21.6
4,-170.6,21.6
5,-170.6,21.6
6,-170.6,21.6
7,-170.5,21.6
8,-170.6,21.6
9,-170.6,21.6
10,-170.6,21.6
11,-170.6,21.6
12,-170.6,21.6
13,-170.6,21.6
14,-170.6,21.6
15,-170.6,21.6
