Task,T1691
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,187.2,22.1
2,187.2,22.1
3,187.2,22.1
4,187.2,22.1
5,187.2,22.1
6,187.2,22.1
7,187.1,22.1
8,187.2,22.1
9,187.1,22.1
10,187.1,22.1
11,187.1,22.1
12,187.1,22.1
13,187.1,22.1
14,187.1,22.1
15,187.1,22.1
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,16.5,22.1
2,16.5,22.1
3,16.4,22.1
4,16.4,22.1
5,16.4,22.1
6,16.4,22.1
7,16.5,22.1
8,16.4,22.1
9,16.4,22.1
10,16.4,22.1
11,16.4,22.1
12,16.4,22.1
13,16.4,22.1
14,16.4,22.1
15,16.4,22.1
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-157.1,21.9
2,-157.1,21.9
3,-157.1,21.9
4,-157.1,21.9
5,-157.1,21.9
6,-157.1,21.9
7,-157.1,21.9
8,-157.2,21.9
9,-157.2,21.9
10,-157.2,21.9
11,-157.2,21.9
12,-157.2,21.9
13,-157.2,21.9
14,-157.2,21.9
15,-157.2,21.9
