"Task","T2763"
"Scope 1/1, Sample 1/2 (JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.2","23.0","NaN","","","","","",""
"0.0200","26","71.3","23.0","0.0010","","","","","",""
"0.0400","177","5.5","23.0","0.0000","","","","","",""
"0.0600","184","4.4","23.0","0.0030","","","","","",""
"0.1100","187","4.1","23.0","0.0150","","","","","",""
"0.2350","191","4.2","23.0","0.0290","-74.81","1.87","","","","NaN"
"0.4350","222","11.8","23.0","0.0065","77.93","1.89","","","","NaN"
"0.6350","252","22.4","23.0","0.0065","189.36","2.28","","","","NaN"
"0.7485","282","37.4","22.9","0.0040","434.64","2.64","","","","NaN"
"0.7730","312","52.3","22.9","0.0010","533.40","2.73","","","","NaN"
"0.7930","342","67.7","22.9","0.0005","613.06","2.79","","","","NaN"
"0.8130","372","83.4","22.9","0.0005","654.03","2.82","","","","NaN"
"0.8330","403","99.6","22.9","0.0005","831.76","2.92","","","","NaN"
"0.8530","433","116.5","22.9","0.0005","823.52","2.92","","","","NaN"
"0.8730","463","133.7","22.9","0.0005","736.10","2.87","","","","NaN"
"0.8930","493","148.4","22.9","0.0005","610.49","2.79","","","","NaN"
"0.9130","521","160.0","22.9","0.0005","495.32","2.69","","","","NaN"
"0.9330","541","167.8","22.9","0.0010","419.55","2.62","","","","NaN"
"0.9635","559","177.4","22.9","0.0015","329.77","2.52","","","","NaN"
"0.9955","574","185.0","22.9","0.0020","258.54","2.41","","","","NaN"
"1.0390","588","192.9","22.9","0.0030","193.37","2.29","","","","NaN"
"1.0970","600","200.7","22.9","0.0050","","","","","",""
"1.1780","610","208.7","22.9","0.0080","","","","","",""
"1.2880","620","216.7","22.9","0.0115","","","","","",""
"1.4390","628","224.6","22.9","0.0195","","","","","",""
"1.6390","636","232.4","22.9","0.0255","","","","","",""
"Scope 1/1, Sample 2/2 (CRM1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","107.1","22.7","NaN","","","","","",""
"0.0200","28","51.7","22.7","0.0005","","","","","",""
"0.0400","164","-46.5","22.7","0.0000","","","","","",""
"0.0600","168","-46.8","22.7","0.0055","","","","","",""
"0.1100","171","-46.8","22.7","0.0170","","","","","",""
"0.2350","201","-32.8","22.7","0.0040","561.43","2.75","","","","NaN"
"0.2610","231","-22.8","22.7","0.0010","189.06","2.28","","","","NaN"
"0.2810","262","-15.6","22.7","0.0005","113.96","2.06","","","","NaN"
"0.3050","292","-10.0","22.6","0.0010","106.93","2.03","","","","NaN"
"0.3560","322","-4.4","22.6","0.0015","97.98","1.99","","","","NaN"
"0.4835","352","1.1","22.6","0.0040","44.13","1.64","","","","NaN"
"0.6835","382","8.8","22.6","0.0065","5.62","0.75","","","","NaN"
"0.8835","412","18.8","22.6","0.0065","105.50","2.02","","","","NaN"
"1.0105","443","30.7","22.6","0.0040","253.97","2.40","","","","NaN"
"1.0565","473","42.6","22.6","0.0015","331.57","2.52","","","","NaN"
"1.0765","503","53.7","22.6","0.0005","369.67","2.57","","","","NaN"
"1.0965","533","64.1","22.6","0.0005","389.22","2.59","","","","NaN"
"1.1165","563","73.8","22.6","0.0005","466.23","2.67","","","","NaN"
"1.1365","594","83.0","22.6","0.0005","472.22","2.67","","","","NaN"
"1.1565","624","91.5","22.6","0.0005","407.25","2.61","","","","NaN"
"1.1765","654","99.6","22.6","0.0005","399.86","2.60","","","","NaN"
"1.1975","684","107.6","22.6","0.0005","419.55","2.62","","","","NaN"
"1.2195","714","116.6","22.6","0.0005","458.12","2.66","","","","NaN"
"1.2395","744","126.1","22.6","0.0005","495.51","2.70","","","","NaN"
"1.2595","775","137.0","22.6","0.0005","505.20","2.70","","","","NaN"
"1.2795","805","147.9","22.6","0.0005","470.23","2.67","","","","NaN"
"1.2995","831","157.3","22.6","0.0010","407.25","2.61","","","","NaN"
"1.3195","851","164.9","22.6","0.0010","352.35","2.55","","","","NaN"
"1.3460","871","173.4","22.6","0.0015","299.82","2.48","","","","NaN"
"1.3750","886","180.5","22.6","0.0020","251.09","2.40","","","","NaN"
"1.4185","901","188.6","22.6","0.0030","194.31","2.29","","","","NaN"
"1.4735","914","196.5","22.6","0.0045","","","","","",""
"1.5475","924","204.2","22.6","0.0075","","","","","",""
"1.6525","934","212.3","22.6","0.0105","","","","","",""
"1.7915","943","220.3","22.6","0.0155","","","","","",""
"1.9815","951","228.1","22.6","0.0235","","","","","",""
