"Task","T2762"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","170.0","22.6"
"2","170.1","22.6"
"3","170.1","22.6"
"4","170.1","22.6"
"5","170.1","22.6"
"6","170.1","22.6"
"7","170.2","22.6"
"8","170.2","22.6"
"9","170.2","22.6"
"10","170.3","22.6"
"11","170.3","22.6"
"12","170.3","22.6"
"13","170.3","22.6"
"14","170.3","22.6"
"15","170.3","22.6"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-2.8","22.5"
"2","-2.9","22.5"
"3","-2.8","22.5"
"4","-2.8","22.5"
"5","-2.8","22.5"
"6","-2.8","22.5"
"7","-2.8","22.5"
"8","-2.8","22.5"
"9","-2.8","22.5"
"10","-2.8","22.5"
"11","-2.8","22.5"
"12","-2.8","22.5"
"13","-2.8","22.5"
"14","-2.8","22.5"
"15","-2.8","22.5"
"16","-2.8","22.5"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-176.3","22.5"
"2","-176.2","22.5"
"3","-176.2","22.5"
"4","-176.2","22.5"
"5","-176.3","22.5"
"6","-176.3","22.5"
"7","-176.3","22.5"
"8","-176.3","22.5"
"9","-176.3","22.5"
"10","-176.3","22.5"
"11","-176.3","22.5"
"12","-176.4","22.5"
"13","-176.4","22.5"
"14","-176.3","22.5"
"15","-176.4","22.5"
"16","-176.4","22.5"
